Brand,Engine name,End_of_production,Price
Acura,3.2 i V6 24V Type S (263 Hp) Automatic,2003,45943
Acura,3.2 i V6 24V Type S (263 Hp),2003,30349
Acura,3.2 i V6 24V (228 Hp) Automatic,2003,18127
Acura,3.0 i V6 24V (203 Hp),1999,11233
Acura,2.3 i 16V (152 Hp) Automatic,1999,24062
Acura,2.3 i 16V (152 Hp),1999,49444
Acura,2.0 i 16V (157 Hp) Automatic,2011,47998
Acura,2.0 i 16V (157 Hp),2011,49156
Acura,2.0 i 16V (157 Hp),2008,21060
Acura,1.6 i 16V (107 Hp),2000,31078
Acura,2.4 (201 Hp) Automatic,2018,21560
Acura,2.4 (201 Hp),2015,16043
Acura,2.0 (150 Hp) Automatic,2015,21298
Acura,1.5 (111 Hp) Hybrid CVT,2015,20154
Acura,1.8 (196 Hp),2001,32233
Acura,1.8 (170 Hp),2001,21880
Acura,1.8 (141 Hp) Automatic,2001,13751
Acura,1.8 (141 Hp),2001,6321
Acura,1.8 (196 Hp),2001,32233
Acura,1.8 (170 Hp) Automatic,2001,47933
Acura,1.8 (170 Hp),2001,21880
Acura,1.8 (141 Hp) Automatic,2001,13751
Acura,1.8 (141 Hp),2001,6321
Acura,1.8 (142 Hp) Automatic,1993,39596
Acura,1.8 (142 Hp),1993,28338
Acura,1.8 (132 Hp) Automatic,1993,49223
Acura,1.8 (132 Hp),1993,44653
Acura,1.8 (142 Hp) Automatic,1993,39596
Acura,1.8 (142 Hp),1993,28338
Acura,1.8 (132 Hp) Automatic,1993,49223
Acura,1.8 (132 Hp),1993,44653
Acura,1.7 (162 Hp),1993,39794
Acura,1.6 (120 Hp) Automatic 5d,1989,31479
Acura,1.6 (120 Hp) Automatic 3d,1989,26472
Acura,1.6 (120 Hp) 5d,1989,24882
Acura,1.6 (120 Hp) 3d,1989,5032
Acura,1.6 (115 Hp) Automatic 5d,1987,14719
Acura,1.6 (115 Hp) Automatic 3d,1987,47649
Acura,1.6 (115 Hp) 5d,1987,20497
Acura,1.6 (115 Hp) 3d,1987,37472
Acura,1.5 (86 Hp) Automatic 5d,1989,9578
Acura,1.5 (86 Hp) Automatic 3d,1989,6855
Acura,1.5 (86 Hp) 5d,1989,42631
Acura,1.5 (86 Hp) 3d,1989,13533
Acura,Type S 3.0 V6 (355 Hp) SH-AWD SportShift,2024,34017
Acura,3.5 V6 (290 Hp) SH-AWD Automatic,2024,47155
Acura,3.5 V6 (290 Hp) Automatic,2024,17328
Acura,3.5 V6 (290 Hp) AWD Automatic,2020,27669
Acura,3.5 V6 (290 Hp) Automatic,2020,11520
Acura,3.0 V6 (321 Hp) Hybrid SH-AWD DCT,2020,49308
Acura,3.5 V6 (290 Hp) AWD Automatic,2016,8870
Acura,3.5 V6 (290 Hp) Automatic,2016,29436
Acura,3.7 V6 (304 Hp),2013,11152
Acura,3.5 i V6 24V (263 Hp),2006,30170
Acura,3.5 i V6 24V (256 Hp),2006,31099
Acura,3.5 i V6 24V (243 Hp),2003,44742
Acura,3.5 i V6 24V (228 Hp),2003,17957
