UserComments,PercentageSimilarity,MediaItems,IsRecentlyVerified,DateLastVerified,ID,UUID,ParentChargePointID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageTypeID,UsageCost,Connections,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,DateLastStatusUpdate,MetadataValues,DataQualityLevel,DateCreated,SubmissionStatusTypeID,DataProvider.WebsiteURL,DataProvider.Comments,DataProvider.DataProviderStatusType.IsProviderEnabled,DataProvider.DataProviderStatusType.ID,DataProvider.DataProviderStatusType.Title,DataProvider.IsRestrictedEdit,DataProvider.IsOpenDataLicensed,DataProvider.IsApprovedImport,DataProvider.License,DataProvider.DateLastImported,DataProvider.ID,DataProvider.Title,OperatorInfo.WebsiteURL,OperatorInfo.Comments,OperatorInfo.PhonePrimaryContact,OperatorInfo.PhoneSecondaryContact,OperatorInfo.IsPrivateIndividual,OperatorInfo.AddressInfo,OperatorInfo.BookingURL,OperatorInfo.ContactEmail,OperatorInfo.FaultReportEmail,OperatorInfo.IsRestrictedEdit,OperatorInfo.ID,OperatorInfo.Title,UsageType.IsPayAtLocation,UsageType.IsMembershipRequired,UsageType.IsAccessKeyRequired,UsageType.ID,UsageType.Title,StatusType.IsOperational,StatusType.IsUserSelectable,StatusType.ID,StatusType.Title,SubmissionStatus.IsLive,SubmissionStatus.ID,SubmissionStatus.Title,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.AddressLine2,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Country.ISOCode,AddressInfo.Country.ContinentCode,AddressInfo.Country.ID,AddressInfo.Country.Title,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.ContactEmail,AddressInfo.AccessComments,AddressInfo.RelatedURL,AddressInfo.Distance,AddressInfo.DistanceUnit
,,,True,2025-05-25T09:09:00Z,312758,B3CB1F82-7871-42E6-9B17-C14C73FEB66C,,1,,3447.0,,4.0,,"[{'ID': 602574, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 11, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 16, 'Comments': None}]",16.0,,,,50,2025-05-25T09:09:00Z,,1,2025-05-22T09:06:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://apps.total-ev-charge.com/,,,,False,,,,,False,3447.0,TotalEnergies (FR),False,True,True,4.0,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,313147,Pharmacie Familia,Rue Edouard Dinot 32,,Ciney,,5590,26,BE,EU,26,Belgium,50.291475684111845,5.100143922818745,,,,,,,0
,,,True,2025-05-19T12:04:00Z,312652,7EA7E4C8-6802-4EFD-90BF-D22B500ADAE4,,1,,1.0,,4.0,,"[{'ID': 602373, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 7, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",1.0,,,,50,2025-05-19T12:04:00Z,,1,2025-05-16T12:03:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1.0,(Unknown Operator),False,True,True,4.0,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,313041,OCVS Consulting,Kasteelstraat 20,,Beersel,,1650,26,BE,EU,26,Belgium,50.762834620456914,4.301820493158061,,,,,,,0
,,,True,2025-05-10T19:49:00Z,312369,09826ED7-5CCB-4D78-9F79-E568C78AD33A,,1,,3595.0,,4.0,,"[{'ID': 601877, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}, {'ID': 601878, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",2.0,,,,50,2025-05-10T19:49:00Z,,1,2025-05-07T19:46:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.engie.com,,,,False,,,,,False,3595.0,Engie,False,True,True,4.0,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,312758,Engie Belgium publieke laadpaal,Beekveld 10,,Lint,Antwerp,2547,26,BE,EU,26,Belgium,51.12355856924225,4.4970578614871215,,,,,,,0
,,,True,2025-05-08T08:34:00Z,312329,0E038933-CAE2-4CEC-8EA5-A75EADCB6A6F,,1,,1.0,,4.0,,"[{'ID': 601794, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': None, 'Level': None, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 3, 'Comments': None}]",3.0,,,,50,2025-05-08T08:34:00Z,,1,2025-05-05T08:32:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1.0,(Unknown Operator),False,True,True,4.0,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,312718,FALCOMOTIVE CHARGING STATION,"Meldertsestraat 8, 3545 Halen",,Halen,Limburg,3545,26,BE,EU,26,Belgium,50.97933370707119,5.122812487092915,,,,,,,0
,,,True,2025-04-28T11:02:00Z,311836,38420CB8-FD49-4C74-BE63-C0EFB5F94F8A,,1,,3754.0,,6.0,0.73,"[{'ID': 600784, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 0, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 2, 'Comments': None}, {'ID': 600785, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 2, 'Comments': None}, {'ID': 600786, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 2, 'Comments': None}]",6.0,,,,50,2025-04-28T11:02:00Z,,1,2025-04-19T08:47:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.smappee.com/,,,,False,,,,,False,3754.0,Smappee,False,False,False,6.0,"Private - For Staff, Visitors or Customers",True,True,50,Operational,True,200,Submission Published,312225,Bellewaerde Aquapark ,Meenseweg 497,,Ieper,West-Vlaanderen ,8902,26,BE,EU,26,Belgium,50.846560289985376,2.9471100408641178,,,,,,,0
,,"[{'ID': 45589, 'ChargePointID': 311720, 'ItemURL': 'https://s3-ap-southeast-2.amazonaws.com/openchargemap/images/BE/OCM311720/OCM-311720.orig.2025041212523180.jpg', 'ItemThumbnailURL': 'https://s3-ap-southeast-2.amazonaws.com/openchargemap/images/BE/OCM311720/OCM-311720.thmb.2025041212523180.jpg', 'Comment': '', 'IsEnabled': True, 'IsVideo': False, 'IsFeaturedItem': False, 'IsExternalResource': False, 'MetadataValue': None, 'User': {'ID': 57838, 'IdentityProvider': None, 'Identifier': None, 'CurrentSessionToken': None, 'Username': 'samd', 'Profile': None, 'Location': None, 'WebsiteURL': None, 'ReputationPoints': 3, 'Permissions': None, 'PermissionsRequested': None, 'DateCreated': None, 'DateLastLogin': None, 'IsProfilePublic': None, 'IsEmergencyChargingProvider': None, 'IsPublicChargingProvider': None, 'Latitude': None, 'Longitude': None, 'EmailAddress': None, 'EmailHash': None, 'ProfileImageURL': 'https://www.gravatar.com/avatar/39c2437a44f2b4056d5d8365f8a92f9c?s=80&d=robohash', 'IsCurrentSessionTokenValid': None, 'APIKey': None, 'SyncedSettings': None}, 'DateCreated': '2025-04-12T12:53:00Z'}]",True,2025-04-28T11:06:00Z,311720,A6AE3C8F-3A2C-4C1C-BE98-3BCFB0F910A1,,1,,3844.0,,1.0,,"[{'ID': 600566, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 150, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 6, 'Comments': None}]",6.0,,,,50,2025-04-28T11:06:00Z,,1,2025-04-12T12:32:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.powerland.be/,BE*PWL,+3257690105,,False,,,,,False,3844.0,Powerland (BE),,,,1.0,Public,True,True,50,Operational,True,200,Submission Published,312109,Rue des Pieds d'Alouette,Rue des Pieds d'Alouette,,Naninne,Namur,5100,26,BE,EU,26,Belgium,50.42687479864057,4.924705260517953,,,,,,,0
,,,True,2025-03-29T03:34:00Z,311280,BFE4400F-2E2C-4D6F-A21E-A49B2C0941FB,,1,,3595.0,,4.0,,"[{'ID': 599842, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 16, 'Voltage': 400, 'PowerKW': 11, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2, 'Comments': None}]",1.0,,,,50,2025-03-29T03:34:00Z,,1,2025-03-19T10:01:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.engie.com,,,,False,,,,,False,3595.0,Engie,False,True,True,4.0,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,311669,Parking Zwarte Hond,Heikantstraat 169,,Kalmthout,Antwerp,2920,26,BE,EU,26,Belgium,51.37245060538743,4.501907718588086,,,,,,,0
,,,True,2025-03-04T03:24:00Z,308955,2E246F67-4C6F-4871-B231-D9265A94CEFC,,1,,3595.0,,4.0,,"[{'ID': 592518, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': None, 'Level': None, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",4.0,,,,50,2025-03-04T03:24:00Z,,1,2025-02-17T20:46:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.engie.com,,,,False,,,,,False,3595.0,Engie,False,True,True,4.0,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,309344,Parking Fort 3,Verlengde Schanslaan,,Borsbeek,,2150,26,BE,EU,26,Belgium,51.187644275360725,4.485325208411922,,,,,,,0
,,,True,2025-01-27T17:37:00Z,308457,ECC9F55E-26D1-4317-B505-7B33BB2F230A,,1,,1.0,,1.0,,"[{'ID': 590406, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",1.0,,,,50,2025-01-27T17:37:00Z,,1,2025-01-27T17:36:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1.0,(Unknown Operator),,,,1.0,Public,True,True,50,Operational,True,200,Submission Published,308846,Meenseweg 481,Meenseweg 481,,Ypres,,8902,26,BE,EU,26,Belgium,50.846421987979056,2.9461344538196386,,,,,,,0
,,,True,2025-01-30T14:44:00Z,308456,A657CF69-2A4C-44EE-AE0D-EC4418D2C44C,,1,,3808.0,,6.0,0.73€/kWh,"[{'ID': 590405, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 32, 'Voltage': 400, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 10, 'Comments': None}]",10.0,,,,50,2025-01-30T14:44:00Z,,1,2025-01-27T14:43:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.mobilityplus.be/en,,,,False,,,,,False,3808.0,MobilityPlus,False,False,False,6.0,"Private - For Staff, Visitors or Customers",True,True,50,Operational,True,200,Submission Published,308845,Bellewaerde Park - Ingang Leeuw,Meenseweg 497,,Ieper,West-Vlaanderen,8902,26,BE,EU,26,Belgium,50.8466871209418,2.949691801960625,,,,,,,0
