UserComments,PercentageSimilarity,MediaItems,IsRecentlyVerified,DateLastVerified,ID,UUID,ParentChargePointID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageTypeID,UsageCost,Connections,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,DateLastStatusUpdate,MetadataValues,DataQualityLevel,DateCreated,SubmissionStatusTypeID,DataProvider.WebsiteURL,DataProvider.Comments,DataProvider.DataProviderStatusType.IsProviderEnabled,DataProvider.DataProviderStatusType.ID,DataProvider.DataProviderStatusType.Title,DataProvider.IsRestrictedEdit,DataProvider.IsOpenDataLicensed,DataProvider.IsApprovedImport,DataProvider.License,DataProvider.DateLastImported,DataProvider.ID,DataProvider.Title,OperatorInfo.WebsiteURL,OperatorInfo.Comments,OperatorInfo.PhonePrimaryContact,OperatorInfo.PhoneSecondaryContact,OperatorInfo.IsPrivateIndividual,OperatorInfo.AddressInfo,OperatorInfo.BookingURL,OperatorInfo.ContactEmail,OperatorInfo.FaultReportEmail,OperatorInfo.IsRestrictedEdit,OperatorInfo.ID,OperatorInfo.Title,UsageType.IsPayAtLocation,UsageType.IsMembershipRequired,UsageType.IsAccessKeyRequired,UsageType.ID,UsageType.Title,StatusType.IsOperational,StatusType.IsUserSelectable,StatusType.ID,StatusType.Title,SubmissionStatus.IsLive,SubmissionStatus.ID,SubmissionStatus.Title,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.AddressLine2,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Country.ISOCode,AddressInfo.Country.ContinentCode,AddressInfo.Country.ID,AddressInfo.Country.Title,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.ContactEmail,AddressInfo.AccessComments,AddressInfo.RelatedURL,AddressInfo.Distance,AddressInfo.DistanceUnit
,,,False,2020-08-24T16:27:00Z,163757,2629E818-9444-4814-BBF1-959CA1D62C75,,1,,23,49613.0,4,CNY 1.95/kWh;其他关税老车/other tariffs for older cars,"[{'ID': 235354, 'ConnectionTypeID': 27, 'ConnectionType': {'FormalName': 'SAE J3400', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 27, 'Title': 'NACS / Tesla Supercharger'}, 'Reference': None, 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 120, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 10, 'Comments': None}]",10,"Charging10 Superchargers, available 24/7, up to 120kW",,,50,2020-08-24T16:27:00Z,,1,2020-08-24T16:26:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,http://www.teslamotors.com,,,,False,,,,,False,23,Tesla (Tesla-only charging),False,True,True,4,Public - Membership Required,True,True,50,Operational,True,200,Submission Published,164114,Shanghai - Southern Bailian Supercharger,7388 Humin Road,,Shanghai,,,50,CN,AS,50,China,31.13140735,121.40009915,,,,,,,0
,,,False,2018-06-09T01:03:00Z,104373,1753A94D-8C7C-4E8D-9ED7-AA00FD180531,,1,,1,,6,,[],1,,,,50,2018-06-09T01:03:00Z,,1,2018-05-19T12:04:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),False,False,False,6,"Private - For Staff, Visitors or Customers",True,True,50,Operational,True,200,Submission Published,104719,East Yan'an Road (Avenue Edward VII),East Yan'an Road (Avenue Edward VII),Baxianqiao,Huangpu,Huangpu District,200021,50,CN,AS,50,China,31.2289886,121.4793021,,,,,,,0
,,,False,2017-02-06T08:39:00Z,79794,E3317ECF-FE12-4459-8E14-5651D4D0247F,,1,,23,8559.0,4,CNY 1.80/kWh;其他关税老车/other tariffs for older cars,"[{'ID': 114441, 'ConnectionTypeID': 27, 'ConnectionType': {'FormalName': 'SAE J3400', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 27, 'Title': 'NACS / Tesla Supercharger'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 120, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 4, 'Comments': None}]",4,"4 Superchargers, available 24/7",,,0,2017-02-06T08:39:00Z,,1,2017-01-30T13:16:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,http://www.teslamotors.com,,,,False,,,,,False,23,Tesla (Tesla-only charging),False,True,True,4,Public - Membership Required,,True,0,Unknown,True,200,Submission Published,80140,Chengdu Yanlord Supercharger,No.1 Renmin South RD,,Jinjiang District,Chengdu,610016,50,CN,AS,50,China,30.651599,104.067022,,,,,,,0
,,,False,2017-02-06T08:37:00Z,79216,3BDE223D-719D-45AA-8863-4FCD64FE71E5,,1,,23,8689.0,4,CNY 1.80/kWh;其他关税老车/other tariffs for older cars,"[{'ID': 113835, 'ConnectionTypeID': 27, 'ConnectionType': {'FormalName': 'SAE J3400', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 27, 'Title': 'NACS / Tesla Supercharger'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 120, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 4, 'Comments': None}]",4,"4 Superchargers, available 24/7",,,0,2017-02-06T08:37:00Z,,1,2017-01-26T21:09:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,http://www.teslamotors.com,,,,False,,,,,False,23,Tesla (Tesla-only charging),False,True,True,4,Public - Membership Required,,True,0,Unknown,True,200,Submission Published,79562,Yiwu Your World Plaza Supercharger,180 Binjiang Mid RD,,Yiwu,Zhejiang,322000,50,CN,AS,50,China,29.301123,120.084763,,,,,,,0
,,,False,2020-08-17T11:10:00Z,78610,51858FAA-EC73-43A7-8ADD-B6AC394709C4,,1,,23,8817.0,6,Free,"[{'ID': 113228, 'ConnectionTypeID': 1036, 'ConnectionType': {'FormalName': 'IEC 62196-2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 1036, 'Title': 'Type 2 (Tethered Connector) '}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 6, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 1, 'Comments': None}]",1,"1 Tesla Connector, up to 6kW.Available for patrons only. Self park.",,,0,2020-08-17T11:10:00Z,,1,2017-01-26T01:22:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,http://www.teslamotors.com,,,,False,,,,,False,23,Tesla (Tesla-only charging),False,False,False,6,"Private - For Staff, Visitors or Customers",,True,0,Unknown,True,200,Submission Published,78956,Qijianli Chuangxiang Hotel Changsha,湖南省长沙市雨花区迎新路与万芙路交汇处青园小学旁无号,,Changsha City,Hunan Province,,50,CN,AS,50,China,28.115022,113.001719,0731-88706777,,,,,,0
,,,False,2016-03-23T21:35:00Z,54989,62131242-6D75-43DB-B13F-EB583492259D,,1,,1,,1,,"[{'ID': 69471, 'ConnectionTypeID': 1, 'ConnectionType': {'FormalName': 'SAE J1772-2009', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 1, 'Title': 'Type 1 (J1772)'}, 'Reference': 'J1772', 'StatusTypeID': None, 'StatusType': None, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': None, 'Comments': None}]",1,,,,0,2016-03-23T21:35:00Z,,2,2015-10-09T07:35:00Z,100,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),,,,1,Public,,True,0,Unknown,True,100,Imported and Published,55335,英贤街18号附近,英贤街18号附近,,济南,山东省,250012,50,CN,AS,50,China,36.66823,117.008772,,,,,http://carstations.com/30438,,0
,,,False,2014-03-22T04:39:00Z,18825,33BBC7CF-DCDD-49A8-8ADC-2015172B2BE3,,15,30255.0,1,,1,,"[{'ID': 19058, 'ConnectionTypeID': 1, 'ConnectionType': {'FormalName': 'SAE J1772-2009', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 1, 'Title': 'Type 1 (J1772)'}, 'Reference': 'J1772', 'StatusTypeID': None, 'StatusType': None, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1,,,,0,2014-03-22T04:39:00Z,,2,2013-08-25T03:32:00Z,200,http://www.carstations.com,,True,20,Automated Import,False,False,,,2017-11-04T14:07:02.687Z,15,CarStations.com,,,,,,,,,,,1,(Unknown Operator),,,,1,Public,,True,0,Unknown,True,200,Submission Published,19170,??????????????????,??????????????????,,??,,530028,50,CN,AS,50,China,22.811294,108.379462,,,,,http://carstations.com/30255,,0
,,,False,2014-03-22T04:39:00Z,18824,E77AF200-3534-4168-806E-DC72A46B9AAC,,15,30252.0,1,,1,,"[{'ID': 19057, 'ConnectionTypeID': 1, 'ConnectionType': {'FormalName': 'SAE J1772-2009', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 1, 'Title': 'Type 1 (J1772)'}, 'Reference': 'J1772', 'StatusTypeID': None, 'StatusType': None, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1,,,,0,2014-03-22T04:39:00Z,,2,2013-08-25T03:32:00Z,200,http://www.carstations.com,,True,20,Automated Import,False,False,,,2017-11-04T14:07:02.687Z,15,CarStations.com,,,,,,,,,,,1,(Unknown Operator),,,,1,Public,,True,0,Unknown,True,200,Submission Published,19169,?????????????,?????????????,,??,,530028,50,CN,AS,50,China,22.811519,108.378375,,,,,http://carstations.com/30252,,0
,,,False,2014-03-22T04:39:00Z,18823,22C2CEA0-C297-4E82-847A-81D405459CCC,,15,30258.0,1,,1,,"[{'ID': 19056, 'ConnectionTypeID': 1, 'ConnectionType': {'FormalName': 'SAE J1772-2009', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 1, 'Title': 'Type 1 (J1772)'}, 'Reference': 'J1772', 'StatusTypeID': None, 'StatusType': None, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1,,,,0,2014-03-22T04:39:00Z,,2,2013-08-25T03:32:00Z,200,http://www.carstations.com,,True,20,Automated Import,False,False,,,2017-11-04T14:07:02.687Z,15,CarStations.com,,,,,,,,,,,1,(Unknown Operator),,,,1,Public,,True,0,Unknown,True,200,Submission Published,19168,?????????????????,?????????????????,,??,,530028,50,CN,AS,50,China,22.811856,108.378384,,,,,http://carstations.com/30258,,0
,,,False,2014-03-22T04:39:00Z,18822,F74FE4A5-AD4B-4D03-9044-92B720BA173E,,15,30507.0,1,,1,,"[{'ID': 19055, 'ConnectionTypeID': 1, 'ConnectionType': {'FormalName': 'SAE J1772-2009', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 1, 'Title': 'Type 1 (J1772)'}, 'Reference': 'J1772', 'StatusTypeID': None, 'StatusType': None, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1,,,,0,2014-03-22T04:39:00Z,,2,2013-08-25T03:32:00Z,200,http://www.carstations.com,,True,20,Automated Import,False,False,,,2017-11-04T14:07:02.687Z,15,CarStations.com,,,,,,,,,,,1,(Unknown Operator),,,,1,Public,,True,0,Unknown,True,200,Submission Published,19167,?????????????9?,?????????????9?,,??,,518057,50,CN,AS,50,China,22.535926,113.952245,,,,,http://carstations.com/30507,,0
