UserComments,PercentageSimilarity,MediaItems,IsRecentlyVerified,DateLastVerified,ID,UUID,ParentChargePointID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageTypeID,UsageCost,Connections,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,DateLastStatusUpdate,MetadataValues,DataQualityLevel,DateCreated,SubmissionStatusTypeID,DataProvider.WebsiteURL,DataProvider.Comments,DataProvider.DataProviderStatusType.IsProviderEnabled,DataProvider.DataProviderStatusType.ID,DataProvider.DataProviderStatusType.Title,DataProvider.IsRestrictedEdit,DataProvider.IsOpenDataLicensed,DataProvider.IsApprovedImport,DataProvider.License,DataProvider.DateLastImported,DataProvider.ID,DataProvider.Title,OperatorInfo.WebsiteURL,OperatorInfo.Comments,OperatorInfo.PhonePrimaryContact,OperatorInfo.PhoneSecondaryContact,OperatorInfo.IsPrivateIndividual,OperatorInfo.AddressInfo,OperatorInfo.BookingURL,OperatorInfo.ContactEmail,OperatorInfo.FaultReportEmail,OperatorInfo.IsRestrictedEdit,OperatorInfo.ID,OperatorInfo.Title,UsageType.IsPayAtLocation,UsageType.IsMembershipRequired,UsageType.IsAccessKeyRequired,UsageType.ID,UsageType.Title,StatusType.IsOperational,StatusType.IsUserSelectable,StatusType.ID,StatusType.Title,SubmissionStatus.IsLive,SubmissionStatus.ID,SubmissionStatus.Title,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.AddressLine2,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Country.ISOCode,AddressInfo.Country.ContinentCode,AddressInfo.Country.ID,AddressInfo.Country.Title,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.ContactEmail,AddressInfo.AccessComments,AddressInfo.RelatedURL,AddressInfo.Distance,AddressInfo.DistanceUnit
,,,True,2025-01-23T07:49:00Z,307448,69E7FD66-67EC-4998-ACAB-FD8F9C642995,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586490, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': '209634', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 586491, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': '209633', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:33:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307837,Longbeach car park,La Rue à Don,Gorey,Grouville,,JE3 9DY,115,JE,EU,115,Jersey,49.19622383414128,-2.0310658415159253,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307447,03D0B56B-4867-4937-BFA2-51C12F848708,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586489, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '171473, 171474, 171475, 171476', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 4, 'Comments': None}]",4,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:29:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307836,St Martin's Village Green car park,St Martin's Village,La Rue de la Croix au Maitre,St Martin,,JE3 6HW,115,JE,EU,115,Jersey,49.21911367371641,-2.0538714219463827,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307446,A79F496B-DEC7-41CD-A3F0-CDA33F94391F,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586488, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '171449, 171450', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:25:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307835,Trinity Parish Hall car park,Rue du Presbytere,,Trinity,,JE3 5JB,115,JE,EU,115,Jersey,49.234980151055765,-2.091043179025746,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307445,DB5CE152-50C0-42F0-8976-8478A9408D46,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586486, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': '244745', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 586487, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': '244744', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:23:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307834,Co-op En Route - Trinity,Sion,La Grande Route de St Jean,Trinity,,JE3 4FZ,115,JE,EU,115,Jersey,49.21815308438505,-2.114080155422016,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307444,660E4262-C42A-4AB9-96D1-17BCD399EA12,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586485, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '171457, 171458', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:19:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307833,St Lawrence's Village car park,Moignard Liberation Garden car park,La Grande Route de St Laurant,St Lawrence,,JE3 1NJ,115,JE,EU,115,Jersey,49.2129006248548,-2.1416996770715286,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307443,85D80582-441F-46DE-9560-94B95BC08879,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586484, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '171461, 171462', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:14:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307832,St Mary's Village car park,La Verte Rue,,St Mary,,JE3 3DE,115,JE,EU,115,Jersey,49.23664481905783,-2.169464266030559,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307442,6557510A-652C-4D13-8BB1-4B3D9D147E63,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586483, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '171467, 171468', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:12:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307831,St Ouen's Parish Hall,St Ouen's Village,Route de Vinchelez,St Ouen,,JE3 2HY,115,JE,EU,115,Jersey,49.23286372281831,-2.201580464640074,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307441,04BB92F5-989F-4B92-B127-3DD6F84BCC3D,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586481, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': '217302', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 586482, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': '217301', 'StatusTypeID': 30, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 30, 'Title': 'Temporarily Unavailable'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 50, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:08:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307830,Red Houses car park,La Route des Quennevais,,St Brelade,,JE3 8AD,115,JE,EU,115,Jersey,49.19096087971914,-2.200520282229576,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307440,FE1F84B8-1F22-4F69-AF54-69AE6DC46263,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586480, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '171431, 171432, 171433, 171434, 171435, 171436, 171439, 171440, 171441, 171442, 171443, 171444', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 12, 'Comments': None}]",12,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T23:04:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307829,Goose on the Green car park,La Route de Beaumont,,St Peter,,JE3 7BA,115,JE,EU,115,Jersey,49.19725035106632,-2.15832837671951,+44 1534 505238,,,,https://www.evolve.je/,,0
,,,True,2025-01-23T07:49:00Z,307439,A55444DF-9E47-4461-9357-07BA8ED0645B,,1,,3288,,1,"07:00-23:59: 24p / kWh,  00:00-06:59: 12p / kWh","[{'ID': 586479, 'ConnectionTypeID': 25, 'ConnectionType': {'FormalName': 'IEC 62196-2 Type 2', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 25, 'Title': 'Type 2 (Socket Only)'}, 'Reference': '156668, 156669', 'StatusTypeID': 50, 'StatusType': {'IsOperational': True, 'IsUserSelectable': True, 'ID': 50, 'Title': 'Operational'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': None, 'Voltage': None, 'PowerKW': 22, 'CurrentTypeID': 20, 'CurrentType': {'Description': 'Alternating Current - Three Phase', 'ID': 20, 'Title': 'AC (Three-Phase)'}, 'Quantity': 2, 'Comments': None}]",2,,,,50,2025-01-23T07:49:00Z,,1,2024-12-25T22:59:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,https://www.jec.co.uk/your-home/electric-vehicles/charging-your-ev/,,,,False,,,,,False,3288,Jersey Electricity Evolve,,,,1,Public,True,True,50,Operational,True,200,Submission Published,307828,Morrsons Benest,La Rue de Galet,La Route de St Aubin,St Lawrence,,JE3 1LQ,115,JE,EU,115,Jersey,49.19812660981185,-2.138318732723036,+44 1534 505238,,,,https://www.evolve.je/,,0
