UserComments,PercentageSimilarity,MediaItems,IsRecentlyVerified,DateLastVerified,ID,UUID,ParentChargePointID,DataProviderID,DataProvidersReference,OperatorID,OperatorsReference,UsageTypeID,UsageCost,Connections,NumberOfPoints,GeneralComments,DatePlanned,DateLastConfirmed,StatusTypeID,DateLastStatusUpdate,MetadataValues,DataQualityLevel,DateCreated,SubmissionStatusTypeID,DataProvider.WebsiteURL,DataProvider.Comments,DataProvider.DataProviderStatusType.IsProviderEnabled,DataProvider.DataProviderStatusType.ID,DataProvider.DataProviderStatusType.Title,DataProvider.IsRestrictedEdit,DataProvider.IsOpenDataLicensed,DataProvider.IsApprovedImport,DataProvider.License,DataProvider.DateLastImported,DataProvider.ID,DataProvider.Title,OperatorInfo.WebsiteURL,OperatorInfo.Comments,OperatorInfo.PhonePrimaryContact,OperatorInfo.PhoneSecondaryContact,OperatorInfo.IsPrivateIndividual,OperatorInfo.AddressInfo,OperatorInfo.BookingURL,OperatorInfo.ContactEmail,OperatorInfo.FaultReportEmail,OperatorInfo.IsRestrictedEdit,OperatorInfo.ID,OperatorInfo.Title,UsageType.IsPayAtLocation,UsageType.IsMembershipRequired,UsageType.IsAccessKeyRequired,UsageType.ID,UsageType.Title,StatusType.IsOperational,StatusType.IsUserSelectable,StatusType.ID,StatusType.Title,SubmissionStatus.IsLive,SubmissionStatus.ID,SubmissionStatus.Title,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.AddressLine2,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Postcode,AddressInfo.CountryID,AddressInfo.Country.ISOCode,AddressInfo.Country.ContinentCode,AddressInfo.Country.ID,AddressInfo.Country.Title,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactTelephone1,AddressInfo.ContactTelephone2,AddressInfo.ContactEmail,AddressInfo.AccessComments,AddressInfo.RelatedURL,AddressInfo.Distance,AddressInfo.DistanceUnit
,,,False,2019-04-29T09:05:00Z,125792,78D82432-6F1F-418C-8EB6-E5B33332CD88,,1,,45,,1,Gratuit,"[{'ID': 176280, 'ConnectionTypeID': 33, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration FF', 'IsDiscontinued': False, 'IsObsolete': False, 'ID': 33, 'Title': 'CCS (Type 2)'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': 350, 'Voltage': 920, 'PowerKW': 160, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}, {'ID': 176281, 'ConnectionTypeID': 2, 'ConnectionType': {'FormalName': 'IEC 62196-3 Configuration AA', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 2, 'Title': 'CHAdeMO'}, 'Reference': None, 'StatusTypeID': 150, 'StatusType': {'IsOperational': False, 'IsUserSelectable': True, 'ID': 150, 'Title': 'Planned For Future Date'}, 'LevelID': 3, 'Level': {'Comments': '40KW and Higher', 'IsFastChargeCapable': True, 'ID': 3, 'Title': 'Level 3:  High (Over 40kW)'}, 'Amps': 350, 'Voltage': 920, 'PowerKW': 160, 'CurrentTypeID': 30, 'CurrentType': {'Description': 'Direct Current', 'ID': 30, 'Title': 'DC'}, 'Quantity': 1, 'Comments': None}]",1,Accessible gratuitement en demandant aux voituriers de l'hôtel.,,,150,2019-04-29T09:05:00Z,,1,2019-04-26T15:19:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network,,,False,,,,,,45,(Business Owner at Location),,,,1,Public,False,True,150,Planned For Future Date,True,200,Submission Published,126138,Monte Carlo Bay Hotel & Resort,40 avenue Princesse Grace,,Monaco,,98000,149,MC,EU,149,Monaco,43.74908451762519,7.438711011026385,,,,Accessible gratuitement en demandant aux voituriers de l'hôtel.,https://www.montecarlosbm.com/fr/hotel-monaco/monte-carlo-bay-hotel-resort,,0
,,,False,2012-12-30T19:19:00Z,15286,C8F2E899-3E6B-45B9-A120-2CDA10A30FFD,,1,,1,,5,Free,"[{'ID': 13592, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T19:19:00Z,,1,2012-12-30T19:19:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15632,Parking Saint-Laurent,11 Avenue Saint-Laurent,Avenue de Grande-Bretagne,Monte-Carlo,,,149,MC,EU,149,Monaco,43.742937,7.427739,+377 98 98 19 34,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T19:09:00Z,15285,4F0FF62A-BE9F-4614-9971-63F46DFAC051,,1,,1,,5,Free,"[{'ID': 13591, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T19:09:00Z,,1,2012-12-30T19:09:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15631,Parking Saint-Charles,Avenue Saint-Charles,Boulevard de France,Monte-Carlo,,,149,MC,EU,149,Monaco,43.742075,7.426976,+377 98 98 81 85,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T18:59:00Z,15284,CAAA3BA1-CEA7-4949-B83A-C7E3B9A3F0C4,,1,,1,,5,Free,"[{'ID': 13590, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T18:59:00Z,,1,2012-12-30T18:59:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15630,Parking Roqueville,Avenue Roqueville,,Monte-Carlo,,,149,MC,EU,149,Monaco,43.739041,7.42289,+377 98 98 43 48,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T18:50:00Z,15283,EC09A945-06B9-4911-B948-28444769F3CF,,1,,1,,5,Free,"[{'ID': 13589, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T18:50:00Z,,1,2012-12-30T18:50:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15629,Parking d'Ostende,9 Avenue d'Ostende,,Monte-Carlo,,,149,MC,EU,149,Monaco,43.737268,7.423635,+377 98 98 22 83,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T18:38:00Z,15282,9976993B-093D-4D73-BE7C-90230C6612F6,,1,,1,,5,Free,"[{'ID': 13588, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T18:38:00Z,,1,2012-12-30T18:38:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15628,Parking des Moulins,Place des Moulins,Avenue de Grande-Bretagne,Monte-Carlo,,,149,MC,EU,149,Monaco,43.745535,7.429389,+377 98 98 19 34,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T18:03:00Z,15281,BB205D11-8E7E-4EEB-BB85-03A78E7CF431,,1,,1,,5,Free,"[{'ID': 13587, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T18:03:00Z,,1,2012-12-30T18:03:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15627,Parking Louis II,Boulevard Louis II,,Monte-Carlo,,,149,MC,EU,149,Monaco,43.739915,7.43025,+377 98 98 80 39,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2013-01-12T18:55:00Z,15280,295A140C-A1DA-46CE-969B-8DB7A5BE3C7D,,1,,1,,5,Free,"[{'ID': 13586, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}, {'ID': 13915, 'ConnectionTypeID': 8, 'ConnectionType': {'FormalName': 'Tesla Connector', 'IsDiscontinued': True, 'IsObsolete': False, 'ID': 8, 'Title': 'Tesla (Roadster)'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': 2, 'Level': {'Comments': 'Over 2 kW, usually non-domestic socket type', 'IsFastChargeCapable': False, 'ID': 2, 'Title': 'Level 2 : Medium (Over 2kW)'}, 'Amps': 40, 'Voltage': 240, 'PowerKW': 9.6, 'CurrentTypeID': 10, 'CurrentType': {'Description': 'Alternating Current - Single Phase', 'ID': 10, 'Title': 'AC (Single-Phase)'}, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2013-01-12T18:55:00Z,,1,2012-12-30T17:03:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15626,Parking de la Costa,Avenue de la Costa,,Monte-Carlo,,,149,MC,EU,149,Monaco,43.737417,7.422812,+377 98 98 80 36,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.         for Teslaroadsterconnector get info at :  Centre ProTech Express  www.protech.mc/ + 377 92 05 49 74 connector at Level 0  ,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T16:50:00Z,15279,FE22C254-987E-4BC1-BE5C-59DC54B68131,,1,,1,,5,Free,"[{'ID': 13585, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1, PARKING CHARGES APPLY,,,50,2012-12-30T16:50:00Z,,1,2012-12-30T16:50:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),True,False,False,5,Public - Pay At Location,True,True,50,Operational,True,200,Submission Published,15625,Parking du Casino,Avenue des Spélugues,Allée des Boulingrins ,Monte-Carlo,,,149,MC,EU,149,Monaco,43.739845,7.427438,+377 98 98 81 84,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
,,,False,2012-12-30T16:38:00Z,15278,220CADA5-7998-4CB9-8086-E41C2FCA3045,,1,,1,,2,Free,"[{'ID': 13584, 'ConnectionTypeID': 0, 'ConnectionType': {'FormalName': 'Not Specified', 'IsDiscontinued': None, 'IsObsolete': None, 'ID': 0, 'Title': 'Unknown'}, 'Reference': None, 'StatusTypeID': 0, 'StatusType': {'IsOperational': None, 'IsUserSelectable': True, 'ID': 0, 'Title': 'Unknown'}, 'LevelID': None, 'Level': None, 'Amps': 20, 'Voltage': None, 'PowerKW': None, 'CurrentTypeID': None, 'CurrentType': None, 'Quantity': 1, 'Comments': None}]",1,"Parking indisponible en semaine, des réservations sont possibles les week-end pour certains événements (mariages etc.)",,,50,2012-12-30T16:38:00Z,,1,2012-12-30T16:38:00Z,200,http://openchargemap.org,,True,1,Manual Data Entry,False,True,True,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),,1,Open Charge Map Contributors,,,,,,,,,,,1,(Unknown Operator),,True,,2,Private - Restricted Access,True,True,50,Operational,True,200,Submission Published,15624,Parking de la Visitation,Avenue des Pins,,Le Rocher,,,149,MC,EU,149,Monaco,43.731785,7.426253,+377 98 98 80 45,,, emplacements sont signalés par un panneau vert apposé sur le mur du parking.,https://www.monaco-parkings.mc/,,0
