"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"4219999491";"-22.7893656";"-59.6155354";"charging_station";"";"Paraguay";"Boqueron";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5366105822";"-17.7869025";"-63.1621819";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"ATL San Jorge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9128574460";"-17.7522626";"-63.1991402";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"Ventura Mall";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11665527369";"-17.7660531";"-63.0854573";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9116058687";"-17.3751677";"-66.1581829";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"1";"";"";"Universidad Franz Tamayo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"9311178503";"-17.3806773";"-66.1516576";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"yes";"Empresa de Luz y Fuerza Eléctrica Cochabamba";"";"";"";"";"";"";"";"effix 9";"";"";"";"ENDE";"";"24/7";"no"
"9515033297";"-17.3935583";"-66.1662378";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"yes";"Empresa de Luz y Fuerza Eléctrica Cochabamba";"";"";"";"";"";"";"";"effix 7";"";"";"";"ENDE";"";"24/7";"no"
"11589867985";"-17.3731894";"-66.1547959";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"";"Quantum";"";"";"";"";"";"";"";"";"";"";"";"Quantum";"";"";"no"
"11760214296";"-17.3990678";"-66.2182069";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"1";"";"";"Universidad Privada Boliviana";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"9540138850";"-17.0075121";"-65.4430578";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"yes";"Empresa de Luz y Fuerza Eléctrica Cochabamba";"";"";"";"";"";"";"";"effix 8";"";"";"";"ENDE";"";"24/7";"no"
"9557130508";"-16.5336474";"-68.1729783";"charging_station";"";"Bolivia";"La Paz";"N/A";"N/A";"";"2";"";"yes";"DELAPAZ Distribuidora de Electricidad La Paz";"";"";"";"";"";"";"";"";"";"";"";"ENDE";"";"24/7";"no"
"10736141401";"-16.5065423";"-68.1263904";"charging_station";"";"Bolivia";"La Paz";"N/A";"N/A";"";"2";"";"yes";"DELAPAZ Distribuidora de Electricidad La Paz";"";"";"";"";"";"";"";"";"";"";"";"ENDE";"";"24/7";"no"
"4324626090";"-15.851941";"-58.4704355";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"Auto Posto Porto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4380754491";"-12.0600494";"-63.5575703";"charging_station";"Alta Floresta D'Oeste";"Brazil";"Rondonia";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4493304798";"-10.876467";"-61.9460593";"charging_station";"Ji-Parana";"Brazil";"Rondonia";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
