"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"5038970021";"-21.2303082";"-43.7898943";"charging_station";"Barbacena";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"Petrobras Belvedere (podium)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4894584421";"-20.350113";"-56.1561919";"charging_station";"Miranda";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"Taurus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4795166726";"-20.4667233";"-55.7816601";"charging_station";"Aquidauana";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"WA - TAURUS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4894620822";"-20.6520776";"-55.8983273";"charging_station";"Anastacio";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"Taurus";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4896288025";"-20.4729376";"-55.7934858";"charging_station";"Aquidauana";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4572572393";"-20.480274";"-54.6406611";"charging_station";"Campo Grande";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"Bandeira Petrobrás";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4572582789";"-20.4924163";"-54.6491459";"charging_station";"Campo Grande";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"Bandeira Grupo JD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1340138202";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"4";"";"";"UFMS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"12396486396";"-20.5026527";"-54.6144451";"";"Campo Grande";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12396486398";"-20.5027383";"-54.6142671";"";"Campo Grande";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12396486399";"-20.5026136";"-54.6143074";"";"Campo Grande";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12416712344";"-20.5027773";"-54.6144048";"";"Campo Grande";"Brazil";"Mato Grosso do Sul";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12511152974";"-20.3894819";"-40.494529";"charging_station";"Viana";"Brazil";"Espirito Santo";"N/A";"N/A";"";"";"";"";"EDP";"Q1341222";"";"";"";"";"";"";"";"";"";"";"WeCharge";"2 BRL";"";"yes"
