"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"9655914911";"41.4617383";"23.2621006";"charging_station";"Obshtina Petrich";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9848211504";"41.5499359";"23.2701611";"charging_station";"Obshtina Sandanski";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"";"";"";"Kaufland";"";"";"";"";"1";"";"";"";"";"";"";"";"";"08:00-21:00";"yes"
"9848234455";"41.5501421";"23.268335";"charging_station";"Obshtina Sandanski";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"no"
"9848236389";"41.5501385";"23.2683907";"charging_station";"Obshtina Sandanski";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"no"
"10054137078";"41.4328886";"23.3343381";"charging_station";"Obshtina Petrich";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"no"
"12120162893";"41.5405522";"23.2544866";"charging_station";"Obshtina Sandanski";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"4";"";"yes";"Финес Енерджи ООД";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"12121650425";"41.3975006";"23.3542018";"charging_station";"Nomos Serron";"Greece";"Central Macedonia";"N/A";"N/A";"";"2";"";"yes";"Финес Енерджи ООД";"Q128904354";"";"";"";"";"";"";"";"";"";"2868";"";"";"24/7";"no"
"12121650426";"41.3974815";"23.3540972";"charging_station";"Nomos Serron";"Greece";"Central Macedonia";"N/A";"N/A";"";"6";"";"yes";"Финес Енерджи ООД";"Q128904354";"";"";"";"";"";"";"";"";"";"2868";"";"";"24/7";"no"
"12124255858";"41.4343643";"23.3337002";"charging_station";"Obshtina Petrich";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"4";"";"yes";"Финес Енерджи ООД";"Q128904354";"";"";"";"";"";"";"";"";"Екзарх Йосиф";"2870";"";"";"24/7";"yes"
"12126495133";"41.3985466";"23.353591";"charging_station";"Obshtina Petrich";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"";"";"";"Eko";"";"";"";"";"";"";"";"";"";"";"";"ABB";"";"";""
"12143721188";"41.3960962";"23.1784192";"charging_station";"Obshtina Petrich";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"2";"";"yes";"";"Q128904354";"";"";"";"";"";"";"";"";"";"";"Sungrow";"";"24/7";"yes"
"12174290401";"41.4053098";"23.2017168";"charging_station";"Obshtina Petrich";"Bulgaria";"Blagoevgrad";"N/A";"N/A";"";"2";"";"yes";"";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"12508854266";"41.2815818";"22.9782513";"charging_station";"";"North Macedonia";"Novo Selo";"N/A";"N/A";"";"1";"";"yes";"Cafe Ιωάννα";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"12508854267";"41.2861712";"23.0151316";"charging_station";"";"North Macedonia";"Novo Selo";"N/A";"N/A";"";"2";"";"yes";"Epavlis Hotel";"";"";"";"";"2";"";"";"";"";"";"";"Joltie";"";"24/7";"yes"
"12749431398";"41.3617681";"23.3583498";"charging_station";"Nomos Serron";"Greece";"Central Macedonia";"N/A";"N/A";"";"2";"";"yes";"EcoCharge Greece";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"10054157996";"41.3826384";"23.3617148";"charging_station";"Nomos Serron";"Greece";"Central Macedonia";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"no"
"12159437568";"41.4891413";"24.8500268";"charging_station";"";"Bulgaria";"Smolyan";"N/A";"N/A";"";"2";"";"yes";"Финес Енерджи ЕООД";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12169556926";"41.5743946";"24.713422";"charging_station";"Obshtina Smolyan";"Bulgaria";"Smolyan";"N/A";"N/A";"";"";"";"yes";"";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12124254063";"41.3398825";"25.3582129";"charging_station";"Obshtina Dzhebel";"Bulgaria";"Kurdzhali";"N/A";"N/A";"";"3";"";"yes";"Финес Енерджи ООД";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"12157597111";"41.3792871";"25.1019473";"charging_station";"Obshtina Zlatograd";"Bulgaria";"Smolyan";"N/A";"N/A";"";"2";"";"yes";"Финес Енерджи ЕООД";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12151195680";"41.606791";"25.3754005";"charging_station";"Obshtina Kurdzhali";"Bulgaria";"Kurdzhali";"N/A";"N/A";"";"4";"";"yes";"Финес Енерджи ООД";"Q128904354";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"6642219187";"41.619545";"26.6329086";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"1";"";"yes";"Ramada Hotel & Suites Edirne";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"6642219339";"41.6296316";"26.6204793";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"1";"";"yes";"Sharz";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"6741511937";"41.5409125";"26.8316261";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"1";"";"yes";"SHARZ";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"6741511951";"41.6671275";"26.5716979";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"2";"";"";"ZES";"";"";"";"";"2";"";"";"";"";"";"";"";"";"10:00-22:00";"yes"
"10787187655";"41.6806059";"26.5820465";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"6";"";"";"Tesla";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla Supercharger";"";"";"yes"
"10934426298";"41.6369547";"26.6093182";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"";"";"";"zes";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"yes"
"10934444150";"41.621056";"26.6308559";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"";"";"";"Zes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11497711874";"41.3532352";"26.5035109";"charging_station";"Nomos Evrou";"Greece";"East Macedonia and Thrace";"N/A";"N/A";"";"4";"";"yes";"Σκλαβενίτης";"";"";"";"";"2";"";"";"";"";"";"";"";"";"24/7";"yes"
"12021290879";"41.6615625";"26.5823498";"charging_station";"";"Turkiye";"Edirne";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12521387340";"41.5004561";"26.4807951";"charging_station";"Nomos Evrou";"Greece";"East Macedonia and Thrace";"N/A";"N/A";"";"2";"";"yes";"ELIN ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
