"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"12944744276";"47.48295";"-111.33768";"charging_station";"Cascade County";"United States";"Montana";"N/A";"N/A";"";"8";"";"designated";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"2301";"14th Street Southwest";"59404";"Tesla Supercharger";"";"24/7";"yes"
"11263268194";"47.4700813";"-94.8793282";"charging_station";"Beltrami County";"United States";"Minnesota";"N/A";"N/A";"";"";"";"";"City of Bemidji";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12944744086";"47.4922";"-94.90706";"charging_station";"Beltrami County";"United States";"Minnesota";"N/A";"N/A";"";"8";"";"designated";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"2000";"Paul Bunyan Drive Northwest";"56601";"Tesla Supercharger";"";"24/7";"yes"
"11565514450";"47.3389226";"-91.1963794";"charging_station";"Lake County";"United States";"Minnesota";"N/A";"N/A";"";"2";"";"";"Minnesota Department of Natural Resources";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"12804180542";"47.3008011";"-91.248559";"charging_station";"Lake County";"United States";"Minnesota";"N/A";"N/A";"";"5";"";"";"ZEF Energy";"";"";"";"";"";"";"";"";"";"";"";"ZEF Energy";"";"24/7";"yes"
"12804184770";"47.2478815";"-91.3127531";"charging_station";"Lake County";"United States";"Minnesota";"N/A";"N/A";"";"4";"";"";"ZEF Energy";"";"";"";"";"";"";"";"";"";"";"";"ZEF Energy";"";"";"yes"
"12944743825";"47.56428";"-90.85669";"charging_station";"Lake County";"United States";"Minnesota";"N/A";"N/A";"";"8";"";"designated";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"10";"Surfside Drive";"55615";"Tesla Supercharger";"";"24/7";"yes"
"6751409671";"47.5279866";"-79.6733144";"charging_station";"";"Canada";"Ontario";"N/A";"N/A";"";"";"";"yes";"Wilson Chevrolet";"";"";"";"";"";"";"";"";"";"";"";"Bosch";"";"24/7";"no"
"6751483241";"47.5260272";"-79.6735548";"charging_station";"";"Canada";"Ontario";"N/A";"N/A";"";"";"";"yes";"Tim Hortons";"";"";"";"";"";"";"";"KSI068";"";"";"";"";"";"24/7";"$3.95 + $12.00/hr"
"8513540184";"47.5453141";"-78.9516802";"charging_station";"Abitibi-Temiscamingue";"Canada";"Quebec";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"5718834282";"47.3840156";"-72.7815582";"charging_station";"Mauricie";"Canada";"Quebec";"N/A";"N/A";"";"1";"";"";"Sun Country Highway";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12282672918";"47.439915";"-72.782752";"charging_station";"Mauricie";"Canada";"Quebec";"N/A";"N/A";"";"8";"";"";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla Supercharger";"";"";""
"12282672919";"47.4396898";"-72.7827473";"charging_station";"Mauricie";"Canada";"Quebec";"N/A";"N/A";"";"4";"";"";"ChargePoint";"Q5176149";"";"";"";"";"";"";"";"";"";"";"ChargePoint";"";"";"yes"
