"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"11165926931";"65.6600897";"-20.2748562";"charging_station";"";"Iceland";"Northwest";"N/A";"N/A";"";"2";"";"";"N1";"";"";"";"";"";"";"";"";"";"";"";"N1";"55 ISK/kWh";"";"yes"
"12914389325";"65.6602297";"-20.2749036";"charging_station";"";"Iceland";"Northwest";"N/A";"N/A";"";"12";"";"";"Tesla";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla Supercharger";"";"";"yes"
"6721193276";"65.5540883";"-19.4473411";"charging_station";"";"Iceland";"Northwest";"N/A";"N/A";"";"2";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"";"";"";"";"";"";"";"ON";"69 ISK/kWh";"";"yes"
"11165926930";"65.739955";"-19.6361727";"charging_station";"";"Iceland";"Northwest";"N/A";"N/A";"";"2";"";"";"N1";"";"";"";"";"1";"";"";"";"";"";"";"N1";"55 ISK/kWh";"";"yes"
"6723103509";"65.9700212";"-18.5284002";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Orka náttúrunnar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12695479966";"65.9668911";"-18.5298236";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Ísorka";"";"";"";"";"";"";"";"";"";"";"";"Hypercharger";"";"";""
"4346238381";"65.6840867";"-18.0868575";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"yes";"Orka náttúrunnar";"Q25051792";"";"";"";"";"";"";"";"";"";"";"ON";"69 ISK/kWh";"";"yes"
"6721193275";"65.687645";"-18.0995265";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"1";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"";"";"";"";"";"";"";"ON";"69 ISK/kWh";"";"yes"
"9891067419";"65.6974156";"-18.1392324";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"4";"";"";"Tesla, Inc.";"";"";"";"";"";"";"";"";"2";"Austursíða";"603";"Tesla Supercharger";"";"24/7";"yes"
"11051584876";"65.699919";"-18.1387112";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"2";"";"";"";"";"";"";"ON";"27 ISK/kWh + 0.5 ISK/min";"";"yes"
"11081866800";"65.707094";"-17.8905031";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11537281661";"65.6955621";"-18.1212869";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"8";"";"";"Orkan";"";"";"";"";"";"";"";"";"";"";"";"Orkan";"47 ISK/kWh + 47 ISK/min (after 60 min)";"";"yes"
"12066059869";"65.670899";"-18.0951018";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"Saeluhus Apartments & Houses
Sæluhús Akureyri";"";"";"";"";"";"";"";"";"2";"Sunnutröð";"600";"";"";"24/7";""
"12094975336";"65.6876838";"-18.0997711";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12692769467";"65.6865856";"-18.0793967";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";""
"12692769547";"65.6710838";"-18.0947655";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3000 ISK";"";"yes"
"6721193274";"65.7216173";"-17.3727021";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"2";"";"";"";"";"";"";"ON";"27 ISK/kWh + 0.5 ISK/min";"";"yes"
"12691969939";"66.0469533";"-17.3420537";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"75 ISK/kWh";"";"yes"
"12691970132";"66.0464908";"-17.3379098";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"6721193273";"65.6593141";"-16.9579829";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"3";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"9904508752";"65.644847";"-16.9140901";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Orka Náttúrunnar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760569527";"66.0259509";"-16.4954079";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760569528";"66.0257976";"-16.4949941";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760746578";"66.0254576";"-16.4951463";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760746579";"66.0253995";"-16.4956109";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760746580";"66.0251707";"-16.4949318";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760746581";"66.0250364";"-16.495316";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760746582";"66.0248585";"-16.4948872";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3760746586";"66.0235624";"-16.4975765";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9905886701";"66.0283722";"-16.4891445";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5808132160";"66.0230468";"12.6368592";"charging_station";"Alstahaug";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"Recharge";"";"24/7";""
"11214406686";"66.0225039";"12.6380391";"charging_station";"Alstahaug";"Norway";"Nordland";"N/A";"N/A";"";"8";"";"";"Kople";"";"";"";"";"4";"";"";"";"";"";"";"Lad Opp";"";"";""
"12335595026";"65.9805693";"12.2818535";"charging_station";"Heroy";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"Kople";"";"";"";"";"2";"";"";"";"";"";"";"Lad Opp";"";"";""
"3556397666";"65.834865";"13.19151";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tesla";"";"";""
"6044761489";"65.8356371";"13.1903357";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"1";"";"";"Fru Haugans Hotel";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";""
"6044761492";"65.8348151";"13.1917973";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"5";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"Recharge";"";"24/7";""
"6044761517";"65.84628";"13.19937";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"2";"";"";"Mosjøen Hotell AS";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";""
"6044761518";"65.8414258";"13.201004";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Circle K";"";"";""
"6044761519";"65.863289";"13.1958434";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"8";"";"";"Kople";"";"";"";"";"";"";"";"";"";"";"";"Lad Opp";"";"";""
"7402178698";"65.841893";"13.188515";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tesla";"";"";""
"11184683160";"65.8345245";"13.2208925";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"13";"";"";"Kople";"";"";"";"";"6";"";"";"";"";"";"";"Lad Opp";"";"";""
"12739474509";"65.8645626";"13.1955706";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ionity";"";"";""
"12776979271";"65.8638497";"13.195737";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"St1 Charge";"";"";""
"12811981925";"65.834032";"13.212248";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Uno-X";"";"";""
"12826899944";"65.8511656";"13.279048";"charging_station";"Vefsn";"Norway";"Nordland";"N/A";"N/A";"";"1";"";"";"Kople";"";"";"";"";"";"";"";"";"";"";"";"ChargeUp";"";"";""
"6044761503";"65.595753";"13.9891967";"charging_station";"Hattfjelldal";"Norway";"Nordland";"N/A";"N/A";"";"3";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"Recharge";"";"24/7";""
"9522282878";"65.8198053";"15.0826676";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"4";"";"";"Umeå Energi AB";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"yes"
"10742300405";"65.947008";"15.036384";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"12620374621";"65.8199245";"15.0846159";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"4";"";"";"E.ON";"Q270223";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11165926932";"66.0746374";"-23.1243492";"charging_station";"";"Iceland";"Westfjords";"N/A";"N/A";"";"2";"";"";"N1";"";"";"";"";"1";"";"";"";"";"";"";"N1";"55 ISK/kWh";"";"yes"
"11920329578";"66.0700471";"-23.1221122";"charging_station";"";"Iceland";"Westfjords";"N/A";"N/A";"";"2";"";"";"Orkubú Vestfjarða";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12827177198";"66.0735374";"-23.1313615";"charging_station";"";"Iceland";"Westfjords";"N/A";"N/A";"";"1";"";"";"Orkubú Vestfjarða";"";"";"";"";"yes";"";"";"";"";"";"";"";"";"";"yes"
"12827177199";"66.0736106";"-23.1314934";"charging_station";"";"Iceland";"Westfjords";"N/A";"N/A";"";"1";"";"";"Orkubú Vestfjarða";"";"";"";"";"yes";"";"";"";"";"";"";"";"";"";"yes"
"12847310841";"66.1559268";"-23.2522417";"charging_station";"";"Iceland";"Westfjords";"N/A";"N/A";"";"";"";"";"Orkubú Vestfjarða";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12847310842";"66.1554516";"-23.2528088";"charging_station";"";"Iceland";"Westfjords";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11051592773";"66.0526259";"-19.1179584";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"2";"";"";"";"";"";"";"ON";"27 ISK/kWh + 0.5 ISK/min";"";"yes"
"12695403588";"66.1491626";"-18.9119097";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"InstaVolt";"";"";"yes"
"12695517401";"66.1492112";"-18.9036205";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"2";"";"";"Ísorka";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6655870965";"66.0485607";"-17.3443643";"charging_station";"";"Iceland";"Northeast";"N/A";"N/A";"";"3";"";"";"Orka náttúrunnar";"Q25051792";"";"";"";"2";"";"";"";"";"";"";"";"DC: 69 ISK/kWh. AC: 27 ISK/kWh + 0.5 ISK/min.";"";"yes"
"6044757982";"66.20278";"13.02245";"charging_station";"Nesna";"Norway";"Nordland";"N/A";"N/A";"";"2";"";"";"Havblikk camping";"";"";"";"";"2";"";"";"";"";"";"";"";"";"24/7";""
"11183384528";"66.0653861";"12.9337483";"charging_station";"Leirfjord";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"Kople";"";"";"";"";"4";"";"";"";"";"";"";"Lad Opp";"";"";""
"11993721948";"66.0705703";"13.0534335";"charging_station";"Leirfjord";"Norway";"Nordland";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11183384530";"66.2959296";"13.5507426";"charging_station";"Hemnes";"Norway";"Nordland";"N/A";"N/A";"";"5";"";"";"Kople";"";"";"";"";"2";"";"";"";"";"";"";"Lad Opp";"";"";""
"5779547451";"66.3074877";"14.1503115";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Circle K";"";"";""
"5779561253";"66.3045524";"14.1342334";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Recharge";"";"24/7";""
"5808132154";"66.0813177";"13.8274426";"charging_station";"Hemnes";"Norway";"Nordland";"N/A";"N/A";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Circle K";"";"";""
"5808132159";"66.3062505";"14.149235";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"3";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Recharge";"";"24/7";""
"6044761491";"66.3127646";"14.1341875";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"1";"";"";"Comfort Hotell";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";""
"6044761499";"66.32193";"14.15417";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"1";"";"";"Telemix/Telehuset";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";""
"6044761501";"66.30879";"14.13911";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"1";"";"";"Clarion Hotel Helma";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";""
"6044761509";"66.0806226";"13.8234846";"charging_station";"Hemnes";"Norway";"Nordland";"N/A";"N/A";"";"6";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"Recharge";"";"24/7";""
"6762237197";"66.3203748";"14.203267";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"8";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"Recharge";"";"";""
"7004520228";"66.3074708";"14.1521424";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tesla";"";"";""
"9919998654";"66.3122801";"14.1357609";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"14";"";"";"Charge365";"";"";"";"";"14";"";"";"";"";"";"";"";"";"";"yes"
"11172580349";"66.3408263";"14.1429448";"charging_station";"Rana";"Norway";"Nordland";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Recharge";"";"";""
