"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"11119093383";"-17.9535876";"122.2412521";"charging_station";"Broome";"Australia";"Western Australia";"N/A";"N/A";"";"";"";"";"Chargefox";"Q105775824";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8566979933";"-17.9349336";"145.9240617";"charging_station";"Cassowary Coast";"Australia";"Queensland";"N/A";"N/A";"yes";"2";"";"";"Yurika";"Q106234391";"";"";"";"2";"";"";"";"";"";"";"Yurika";"";"";""
"11109169066";"-17.6226109";"-149.613263";"charging_station";"";"French Polynesia";"Iles du Vent";"N/A";"N/A";"";"";"";"";"Freshmile SAS";"";"";"";"";"yes";"";"";"JBXZWVVFM5";"";"";"";"";"";"24/7";"no"
"11109169074";"-17.4884487";"-149.817832";"charging_station";"";"French Polynesia";"";"N/A";"N/A";"";"";"";"";"Freshmile SAS";"";"";"";"";"yes";"";"";"V8YS06G7V9";"";"";"";"";"";"24/7";"no"
"11109169077";"-17.5252859";"-149.529006";"charging_station";"";"French Polynesia";"Iles du Vent";"N/A";"N/A";"";"";"";"";"Freshmile SAS";"";"";"";"";"yes";"";"";"SDKEJCFATZ";"";"";"";"";"";"24/7";"no"
"9116058687";"-17.3751677";"-66.1581829";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"1";"";"";"Universidad Franz Tamayo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"9311178503";"-17.3806773";"-66.1516576";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"yes";"Empresa de Luz y Fuerza Eléctrica Cochabamba";"";"";"";"";"";"";"";"effix 9";"";"";"";"ENDE";"";"24/7";"no"
"9515033297";"-17.3935583";"-66.1662378";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"yes";"Empresa de Luz y Fuerza Eléctrica Cochabamba";"";"";"";"";"";"";"";"effix 7";"";"";"";"ENDE";"";"24/7";"no"
"11589867985";"-17.3731894";"-66.1547959";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"";"Quantum";"";"";"";"";"";"";"";"";"";"";"";"Quantum";"";"";"no"
"11760214296";"-17.3990678";"-66.2182069";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"1";"";"";"Universidad Privada Boliviana";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"8797027976";"-17.3736451";"145.3844854";"charging_station";"Tablelands";"Australia";"Queensland";"N/A";"N/A";"";"2";"";"";"Tropical North Queensland Electric Vehicle Tourist Drive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"8566979934";"-17.5235786";"146.0267957";"charging_station";"Cassowary Coast";"Australia";"Queensland";"N/A";"N/A";"yes";"2";"";"";"Yurika";"Q106234391";"";"";"";"2";"";"";"";"";"";"";"Yurika";"";"";""
"9540138850";"-17.0075121";"-65.4430578";"charging_station";"";"Bolivia";"Cochabamba";"N/A";"N/A";"";"2";"";"yes";"Empresa de Luz y Fuerza Eléctrica Cochabamba";"";"";"";"";"";"";"";"effix 8";"";"";"";"ENDE";"";"24/7";"no"
"4741393330";"-16.6906974";"-49.2574125";"charging_station";"Goiania";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12660530308";"-16.7095533";"-49.2213754";"charging_station";"Goiania";"Brazil";"Goias";"N/A";"N/A";"";"150 KW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 BRL";"";"yes"
"11291548116";"-17.0172536";"-39.5426917";"charging_station";"Itamaraju";"Brazil";"Bahia";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Petrobras";"";"";""
"8566979935";"-16.9205159";"145.7790922";"charging_station";"Cairns";"Australia";"Queensland";"N/A";"N/A";"yes";"2";"";"";"Yurika";"Q106234391";"";"";"";"2";"";"";"";"";"";"";"Yurika";"";"";""
"9557130508";"-16.5336474";"-68.1729783";"charging_station";"";"Bolivia";"La Paz";"N/A";"N/A";"";"2";"";"yes";"DELAPAZ Distribuidora de Electricidad La Paz";"";"";"";"";"";"";"";"";"";"";"";"ENDE";"";"24/7";"no"
"10736141401";"-16.5065423";"-68.1263904";"charging_station";"";"Bolivia";"La Paz";"N/A";"N/A";"";"2";"";"yes";"DELAPAZ Distribuidora de Electricidad La Paz";"";"";"";"";"";"";"";"";"";"";"";"ENDE";"";"24/7";"no"
