"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"8121290484";"1.532398";"30.2541594";"charging_station";"";"Congo";"Eastern Province";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4869649421";"1.7609917";"33.237558";"charging_station";"Kaberamaido District";"Uganda";"Eastern Region";"N/A";"N/A";"";"";"";"";"Aperkira";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5104827024";"1.5180372";"103.5158573";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"松家园";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187385985";"1.3429484";"103.6793041";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187385986";"1.3459534";"103.6809334";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187385987";"1.3557407";"103.6918741";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"Greenlots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187385988";"1.3550221";"103.6935318";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"Greenlots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187385989";"1.3399407";"103.7066559";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187385990";"1.3354471";"103.7446382";"charging_station";"";"Singapore";"";"N/A";"N/A";"";"";"";"";"Greenlots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187576096";"1.3787383";"103.7620578";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"Greenlots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6187608030";"1.4181808";"103.8637781";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"Greenlots";"";"";"";"";"";"";"";"";"700";"West Camp Road";"";"";"";"";""
"9173660911";"1.5309568";"103.7806642";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"22 kW, 40 kW (100A)";"";"";"Palkom Motors";"";"";"";"";"1";"";"";"";"";"";"";"Exicom Harmony";"FOC initially";"";"no"
"9858450176";"1.3489596";"103.8376137";"charging_station";"";"Singapore";"";"N/A";"N/A";"";"";"";"";"Shell";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11237231468";"1.5758687";"103.7478477";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"2";"";"";"chargEV";"";"";"";"";"";"";"";"";"";"";"";"chargEV";"";"";"yes"
"11253973173";"1.5485937";"103.7175605";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"2";"";"";"chargEV";"";"";"";"";"";"";"";"";"";"";"";"chargEV";"";"";"yes"
"11254037866";"1.5896637";"103.6359419";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"1";"";"";"JomCharge";"";"";"";"";"";"";"";"";"";"";"";"JomCharge BHP R&R Skudai Charging Station";"";"";"yes"
"11254038968";"1.5488828";"103.7143672";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"3";"";"";"Gentari";"";"";"";"";"";"";"";"";"";"";"";"Gentari";"";"";"yes"
"11254068691";"1.5907961";"103.6359783";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"chargEV";"";"";"";"";"";"";"";"";"";"";"";"Starbucks R&R Skudai Charging Station";"";"";"yes"
"11254068692";"1.5910443";"103.6352088";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"2";"";"";"JomCharge";"";"";"";"";"";"";"";"";"";"";"";"FamilyMart R&R Skudai EV Charging Station";"";"";"yes"
"11254118466";"1.5899128";"103.6352084";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"1";"";"";"JomCharge";"";"";"";"";"";"";"";"";"";"";"";"Caltex R&R Skudai Charging Station";"";"";"yes"
"11287557611";"1.5872118";"103.7585463";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"JomCharge Eco Palladium Charging Station";"";"";"";"";"";"";"";"";"";"";"";"JomCharge";"";"";"yes"
"11288841798";"1.3968741";"103.6268215";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"4";"";"";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla Supercharger";"";"24/7";"yes"
"11288842086";"1.3968486";"103.6272334";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tesla, Inc.";"";"24/7";"no"
"11288849242";"1.3954973";"103.6253779";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"1";"";"";"Gentari";"";"";"";"";"";"";"";"";"";"";"";"Gentari @ XPark Sunway Iskandar";"";"";"yes"
"11294595079";"1.5892773";"103.6359475";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"";"";"";"Shell Recharge Solutions";"Q105883058";"";"";"";"";"";"";"";"";"";"";"Shell Recharge";"";"";"yes"
"11385382711";"1.591432";"103.635316";"charging_station";"";"Malaysia";"Johor";"N/A";"N/A";"";"2";"";"";"CHARGE+";"";"";"";"";"";"";"";"";"";"";"";"CHARGE+";"";"";"yes"
