"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"4009256522";"55.6876124";"21.1567927";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"2";"";"";"";"";"1";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"no"
"4009256542";"55.729185";"21.1245486";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"";"";"";"";"";"no"
"5280591362";"55.705232";"21.1323115";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"2";"";"";"Klaipėdos Savivaldybė";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5568851734";"55.7334541";"21.3827364";"charging_station";"";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"LAKD";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5708357910";"55.6929859";"21.1535946";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"4";"";"";"Imbalance Grid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5825797783";"55.6843521";"21.1447864";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"4";"";"";"Renerga";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6399647728";"56.1601538";"21.1613835";"charging_station";"";"Latvia";"Rucavas";"N/A";"N/A";"";"";"";"";"CSDD";"Q27055983";"";"";"";"";"";"";"";"";"";"LV-3477";"";"";"24/7";"yes"
"9750967440";"55.9190317";"21.078589";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"2";"";"";"Elektrum";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"10861645346";"55.6854654";"21.128955";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11053487767";"55.9090052";"21.0691489";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"3";"";"";"Elinta Charge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11062056574";"55.9595533";"21.1451879";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11138263169";"55.8956294";"21.2372075";"charging_station";"";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"32 A";"";"";"";"";"";"";"";"24/7";""
"11694981264";"55.8950912";"21.234342";"charging_station";"";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12073786870";"56.0260066";"21.0764382";"charging_station";"Palanga";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12073856569";"56.0260122";"21.0756823";"charging_station";"Palanga";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12073865870";"56.0260079";"21.076421";"charging_station";"Palanga";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12161473310";"55.7024133";"21.1363111";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12263160501";"55.6993561";"21.1374875";"charging_station";"Klaipeda";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12804242777";"55.7122439";"21.3874054";"charging_station";"";"Lithuania";"Klaipedos apskritis";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10314429859";"56.0045467";"22.9334106";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4952418854";"55.7444403";"24.3348482";"charging_station";"Panevezys City";"Lithuania";"Panevezys";"N/A";"N/A";"";"";"";"";"";"";"yes";"";"";"yes";"";"";"";"";"";"";"";"";"";""
"4952418866";"55.7298295";"24.3116859";"charging_station";"Panevezys City";"Lithuania";"Panevezys";"N/A";"N/A";"";"";"";"";"";"";"yes";"";"";"yes";"";"";"";"";"";"";"";"";"";""
"11883538269";"55.7388603";"24.3412009";"charging_station";"Panevezys City";"Lithuania";"Panevezys";"N/A";"N/A";"";"";"";"";"Dentavita";"";"";"";"";"";"";"";"";"";"";"";"Įkrautas";"";"24/7";""
"11885251869";"55.7273538";"24.3799536";"charging_station";"Panevezys City";"Lithuania";"Panevezys";"N/A";"N/A";"";"";"";"";"IKI Dembava";"";"";"";"";"";"";"";"";"";"";"";"Inbalance";"";"24/7";""
"11885268469";"55.7269456";"24.3630218";"charging_station";"Panevezys City";"Lithuania";"Panevezys";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Elinta";"";"";"no"
"12920162030";"55.768106";"24.2969171";"charging_station";"Panevezys City";"Lithuania";"Panevezys";"N/A";"N/A";"";"20";"";"yes";"Eldrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11883354969";"56.1228186";"24.4711478";"charging_station";"";"Lithuania";"Panevezys";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Inbalance";"";"24/7";""
"6617428677";"55.8383361";"24.9743003";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"2";"";"";"Elinta Charge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11387519681";"55.8494004";"24.9763886";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"2";"";"";"Elinta Charge";"";"";"";"";"";"";"";"";"";"";"";"Elinta Charge CityCharge Mini2";"";"";"yes"
"12348981123";"55.8304554";"24.9872734";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12626325781";"55.8360825";"24.9770956";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12626325782";"55.8361464";"24.9770793";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12626325783";"55.8364198";"24.9932388";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12626325784";"55.8364008";"24.9932526";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5734651121";"56.1576942";"25.5194873";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9344023706";"55.9493843";"25.5901243";"charging_station";"";"Lithuania";"Panevezys";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7596360071";"56.0748529";"26.7352778";"charging_station";"";"Latvia";"Preilu Rajons";"N/A";"N/A";"";"50";"";"";"";"";"";"";"";"";"";"";"";"3";"Šosejas iela";"LV-5481";"";"";"";""
"7814292273";"55.8814603";"26.5046748";"charging_station";"";"Latvia";"Daugavpils";"N/A";"N/A";"";"50";"";"";"CSDD - Ceļu Satiksmes Drošības Direkcija";"";"";"";"";"";"";"";"";"3";"Kraujas iela";"LV-5401";"";"";"";""
"8658074912";"55.8763726";"26.5219938";"charging_station";"";"Latvia";"Daugavpils";"N/A";"N/A";"";"3";"";"";"e-mobi";"";"";"";"";"";"";"";"0108";"";"";"";"";"";"24/7";"yes"
"9825697890";"55.8721513";"26.5090064";"charging_station";"";"Latvia";"Daugavpils";"N/A";"N/A";"";"";"";"";"CSDD";"Q27055983";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9825731490";"55.8804884";"26.5593353";"charging_station";"";"Latvia";"Daugavpils";"N/A";"N/A";"";"2";"";"";"CSDD";"Q27055983";"";"";"";"";"";"";"";"3";"Valkas iela";"LV-5417";"";"";"";""
"5720950159";"55.8880368";"27.1842737";"charging_station";"";"Latvia";"Kraslavas Rajons";"N/A";"N/A";"";"2";"";"yes";"Virši";"";"";"";"";"";"";"";"";"165A";"Rīgas iela";"LV-5601";"Virši";"";"24/7";""
"5797574734";"56.346082";"21.0654607";"charging_station";"";"Latvia";"Nica";"N/A";"N/A";"";"2";"";"";"CSDD";"Q27055983";"";"";"";"";"";"";"";"";"";"LV-3473";"";"";"24/7";"yes"
"7599975507";"56.5795622";"21.3354155";"charging_station";"";"Latvia";"Durbe";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"2A";"Parka iela";"LV-3447";"";"";"";"yes"
