"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"1393768066";"47.2421103";"9.6038999";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"yes";"4";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"4";"";"";"AT*VKW*E4095";"";"";"";"vkw vlotte";"";"24/7";"yes"
"4759119791";"47.2353215";"9.5986624";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"4";"";"no";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5015843934";"47.2357753";"9.5963116";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"5159230140";"47.1101923";"9.5237623";"charging_station";"";"Liechtenstein";"Triesen";"N/A";"N/A";"";"";"";"";"Liechtensteinischen Kraftwerke";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"no"
"5159230141";"47.1381844";"9.5214107";"charging_station";"";"Liechtenstein";"Vaduz";"N/A";"N/A";"";"3";"";"";"LKW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6919511975";"47.2665823";"9.6162107";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"7594638875";"47.1454996";"9.5020029";"charging_station";"";"Liechtenstein";"Vaduz";"N/A";"N/A";"";"";"";"yes";"Plug'n Roll";"Q115241443";"";"";"";"";"";"";"";"";"";"";"Plug'n Roll";"";"24/7";""
"7773618518";"47.2682898";"9.5911473";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"2";"";"";"";"";"";"";"vkw vlotte";"";"Mo-Th 07:00-18:00; Fr 07:00-14:30; Sa-Su 00:00-24:00";"yes"
"7773618519";"47.2704319";"9.6051192";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"2";"";"";"";"";"";"";"vkw vlotte";"";"24/7";"yes"
"8235484404";"47.1280409";"9.4887593";"charging_station";"Wahlkreis Werdenberg";"Switzerland";"Saint Gallen";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8393936723";"47.2384592";"9.6005696";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"8914605531";"47.2246819";"9.616968";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"OMV";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9034466807";"47.2085999";"9.4778427";"charging_station";"Wahlkreis Werdenberg";"Switzerland";"Saint Gallen";"N/A";"N/A";"";"2";"";"yes";"intercharge";"";"";"";"";"2";"";"";"CH*CCI*E20616";"";"";"";"move";"0.57 CHF/kWh";"24/7";"yes"
"9034466811";"47.1731619";"9.474299";"charging_station";"Wahlkreis Werdenberg";"Switzerland";"Saint Gallen";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"24/7";"yes"
"9034466812";"47.173175";"9.4743741";"charging_station";"Wahlkreis Werdenberg";"Switzerland";"Saint Gallen";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"24/7";"yes"
"9034484722";"47.1667166";"9.4745307";"charging_station";"Wahlkreis Werdenberg";"Switzerland";"Saint Gallen";"N/A";"N/A";"";"2";"";"yes";"Ost-mobil";"";"";"";"";"2";"";"";"";"";"";"";"";"";"24/7";"yes"
"9034484723";"47.167145";"9.4789433";"charging_station";"Wahlkreis Werdenberg";"Switzerland";"Saint Gallen";"N/A";"N/A";"";"2";"";"yes";"Ostmobil";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"9490897969";"47.0752494";"9.4860074";"charging_station";"";"Liechtenstein";"Balzers";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"9490897970";"47.0752835";"9.4860615";"charging_station";"";"Liechtenstein";"Balzers";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";"yes"
"9725063465";"47.2242584";"9.6199444";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"Lidl";"Q151954";"";"";"";"1";"";"";"";"";"";"";"";"";"07:15-20:15";"yes"
"9793541418";"47.2405997";"9.5249552";"charging_station";"";"Liechtenstein";"Ruggell";"N/A";"N/A";"";"2";"";"";"LKW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10095348212";"47.254964";"9.615257";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095470695";"47.235925";"9.6305528";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095491727";"47.2485861";"9.587156";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095502673";"47.2605728";"9.6171979";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095502675";"47.261794";"9.615644";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095502676";"47.2650724";"9.6146606";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095545533";"47.2270562";"9.5832321";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095545534";"47.231541";"9.5807619";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"AT*VKW*E0330";"";"";"";"vkw vlotte";"";"24/7";"yes"
"10095554744";"47.245252";"9.605364";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095554745";"47.2398572";"9.5980896";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095554746";"47.237832";"9.593309";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095554747";"47.2347163";"9.5868797";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095554748";"47.235348";"9.59867";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"2";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095599741";"47.229477";"9.609832";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095599742";"47.2209807";"9.6037415";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095616041";"47.217302";"9.632427";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10095616043";"47.21757";"9.63137";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";""
"10139534363";"47.23585";"9.59761";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10140039071";"47.2357103";"9.6312396";"charging_station";"Politischer Bezirk Feldkirch";"Austria";"Vorarlberg";"N/A";"N/A";"";"1";"";"yes";"illwerke vkw";"Q97012080";"";"";"";"";"";"";"";"";"";"";"vkw vlotte";"";"24/7";"yes"
"10559125577";"47.1034856";"9.6079612";"charging_station";"";"Liechtenstein";"Triesenberg";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10846397243";"47.1652241";"9.5075322";"charging_station";"";"Liechtenstein";"Schaan";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LKW";"";"";""
