"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"8990704383";"53.9383081";"21.5459869";"charging_station";"Powiat gizycki";"Poland";"Warmian-Masurian Voivodeship";"N/A";"N/A";"";"";"";"yes";"wtyczka.eu";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"yes"
"8999577564";"54.0803305";"21.4943638";"charging_station";"";"Poland";"Warmian-Masurian Voivodeship";"N/A";"N/A";"";"2";"";"yes";"Power EV";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"yes"
"9573524672";"54.0357849";"21.7599183";"charging_station";"Powiat gizycki";"Poland";"Warmian-Masurian Voivodeship";"N/A";"N/A";"";"2";"";"yes";"Hotel St. Bruno.";"";"";"";"";"";"";"";"";"";"";"";"Tesla, Inc.";"";"24/7";"no"
"8930752595";"54.0282611";"22.8941914";"charging_station";"Suwalki";"Poland";"Podlasie";"N/A";"N/A";"yes";"1";"";"";"EV+";"";"";"";"";"1";"";"";"PL*EVP*EPL112";"";"";"";"";"";"";"yes"
"9329364440";"53.9977796";"22.8256386";"charging_station";"Powiat suwalski";"Poland";"Podlasie";"N/A";"N/A";"";"3";"";"";"Orlen";"Q971649";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11893688169";"54.1226399";"22.9285468";"charging_station";"Suwalki";"Poland";"Podlasie";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/7";""
"5818953361";"54.1254286";"22.9441689";"charging_station";"Suwalki";"Poland";"Podlasie";"N/A";"N/A";"";"3";"";"yes";"GreenWay";"Q116450281";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"9386395207";"54.3185911";"23.1364775";"charging_station";"Powiat sejnenski";"Poland";"Podlasie";"N/A";"N/A";"";"";"";"";"LAKD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"9862616445";"54.234961";"23.516836";"charging_station";"";"Lithuania";"";"N/A";"N/A";"";"";"";"";"UAB Ignitis";"";"";"";"";"2";"";"";"";"";"";"";"Ignitis ON";"";"";"yes"
"4009256494";"54.1160875";"24.1076058";"charging_station";"";"Lithuania";"Alytaus apskritis";"N/A";"N/A";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"";"";"";"";"";"no"
"7084014993";"54.3959739";"24.0441163";"charging_station";"Alytus";"Lithuania";"Alytaus apskritis";"N/A";"N/A";"";"2";"";"";"Elinta";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
