"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"5721330238";"-20.2983656";"57.3649359";"charging_station";"";"Mauritius";"Black River";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6414591685";"-20.0795811";"57.604092";"charging_station";"";"Mauritius";"Riviere du Rempart";"N/A";"N/A";"";"";"";"";"Total";"Q154037";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10846385107";"-20.2789833";"57.4042903";"charging_station";"";"Mauritius";"Black River";"N/A";"N/A";"";"1";"";"";"Shell";"Q110716465";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10880884336";"-20.2273717";"57.5070579";"charging_station";"";"Mauritius";"Moka";"N/A";"N/A";"";"40";"";"";"E-Motion";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"10880972401";"-20.241693";"57.4898927";"charging_station";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"40";"";"";"E-Motion";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11109604502";"-20.2856073";"57.6603808";"charging_station";"";"Mauritius";"";"N/A";"N/A";"";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EV go";"";"";""
"11114734505";"-20.3278755";"57.3856418";"charging_station";"";"Mauritius";"Black River";"N/A";"N/A";"";"50";"";"";"Total";"Q154037";"";"";"";"";"";"";"";"";"";"";"Total";"";"";""
"510587886";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"4";"";"";"Total";"Q154037";"";"";"";"";"";"";"";"";"Royal Road Rose Hill";"";"Total";"Rs 5.85";"";"yes"
"4995787133";"-20.2463141";"57.4796235";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4995787134";"-20.2463895";"57.4795609";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4995787135";"-20.2464674";"57.4796677";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4995787136";"-20.246392";"57.4797303";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
