"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"4788698922";"44.2857766";"-1.1112557";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"";"";"";"Tom d'aqui pontenx (Parentis en Born)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5817642056";"44.2416487";"-1.1212724";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"Izivia";"";"";"";"";"2";"";"";"FR*S40*P40229*001";"";"";"";"";"";"24/7";"yes"
"5886943079";"44.0633158";"-1.2271154";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"Izivia";"Q86671322";"";"";"";"2";"";"";"FR*S40*P40266*001";"";"";"";"";"";"24/7";"yes"
"7056526933";"44.0340899";"-1.2587969";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"Izivia";"Q86671322";"";"";"";"2";"";"";"FR*S40*P40157*001";"";"";"";"";"";"24/7";"yes"
"7084733322";"44.2133129";"-1.2919128";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"Sidec";"";"";"";"";"2";"";"";"FR*S40*P40184*001";"";"";"";"";"";"24/7";"yes"
"7090491915";"44.4450099";"-1.2502433";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"Izivia";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"7306352563";"44.3956895";"-1.1677146";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"Izivia";"";"";"";"";"2";"";"";"";"";"";"";"";"";"24/7";"yes"
"7916247165";"44.2025754";"-1.2273603";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"4";"";"yes";"Izivia";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"8557145111";"44.3077919";"-1.1811032";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"";"Lafon Technologies";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"9658045971";"44.0812697";"-1.2607977";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9732638778";"44.2055782";"-1.2207523";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"10802729405";"44.0326277";"-1.1999147";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11032247295";"44.4410276";"-1.245775";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247296";"44.450662";"-1.2469064";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247297";"44.4520024";"-1.2387126";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247298";"44.4591516";"-1.2395941";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"4";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247299";"44.4601874";"-1.1989118";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"1";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247300";"44.4554504";"-1.2010993";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247301";"44.4309926";"-1.1717635";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247302";"44.4294991";"-1.1673046";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
"11032247303";"44.4282772";"-1.163273";"charging_station";"Departement des Landes";"France";"Aquitaine";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"24/7";"yes"
