"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"9867614972";"-39.0578439";"174.0777366";"charging_station";"New Plymouth District";"New Zealand";"Taranaki";"N/A";"N/A";"";"1";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11082024319";"-39.0559357";"174.0870546";"charging_station";"New Plymouth District";"New Zealand";"Taranaki";"N/A";"N/A";"";"3";"";"";"Tesla";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla Supercharger";"";"";""
"9960977573";"-38.6982161";"174.6192372";"charging_station";"New Plymouth District";"New Zealand";"Taranaki";"N/A";"N/A";"";"50";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5593696787";"-38.6926802";"176.0760127";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"1";"";"yes";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"5626318886";"-38.9900242";"175.8101809";"charging_station";"";"New Zealand";"Waikato";"N/A";"N/A";"";"2";"";"yes";"Z Energy";"Q8063337";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"8313610080";"-38.6890957";"176.0724149";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"1";"";"yes";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"$0.25 / kWh + $0.25 / minute";"";"yes"
"8313645121";"-38.6926196";"176.0760249";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"4";"";"yes";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla, Inc.";"73c/kWh";"24/7";"yes"
"9847589301";"-38.6900505";"176.0723611";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"6";"";"yes";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"0.85 NZD/kWh";"24/7";"yes"
"9847589302";"-38.6890132";"176.0724305";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"2";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"2";"";"";"";"";"";"";"";"$0.30 / kWh";"";"yes"
"10031247345";"-38.7402061";"176.082183";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"2";"";"";"Contact Energy";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"5096295207";"-38.8784398";"176.3693501";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"2";"";"yes";"ChargeNet NZ";"Q105872959";"";"";"";"1";"";"";"";"";"";"";"";"$0.40 / kWh";"24/7";"yes"
"10031206361";"-38.6289104";"176.1017518";"charging_station";"Taupo District";"New Zealand";"Waikato";"N/A";"N/A";"";"1";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"$0.25 / kWh + $0.15 / minute";"Mo-Su 09:00-16:00";"yes"
"10030880745";"-39.0342322";"177.4214972";"charging_station";"Wairoa District";"New Zealand";"Hawke's Bay";"N/A";"N/A";"";"2";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"1";"";"";"";"";"";"";"";"$0.40 / kWh";"";"yes"
"9956395667";"-38.6676241";"178.0277625";"charging_station";"Gisborne District";"New Zealand";"Gisborne";"N/A";"N/A";"";"2";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"1";"";"";"";"";"";"";"";"$0.40 kWh";"";"yes"
"9956479123";"-38.6708386";"178.0254534";"charging_station";"Gisborne District";"New Zealand";"Gisborne";"N/A";"N/A";"";"1";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"9956497288";"-38.6612092";"178.0181607";"charging_station";"Gisborne District";"New Zealand";"Gisborne";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";""
"10572056313";"-38.9864164";"177.7909956";"charging_station";"Gisborne District";"New Zealand";"Gisborne";"N/A";"N/A";"";"";"";"";"ChargeNet NZ";"Q105872959";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"12810966947";"-38.2792524";"-72.3655212";"charging_station";"Provincia de Malleco";"Chile";"Araucania";"N/A";"N/A";"";"";"";"";"Copec";"Q1130956";"";"";"";"";"";"";"";"";"";"";"";"";"";""
