"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"4914726322";"48.9383436";"89.1348837";"charging_station";"";"Mongolia";"Bayan-Olgiy";"N/A";"N/A";"";"";"";"";"Dinsilam";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12208828569";"48.9875308";"131.0593936";"charging_station";"";"Russian Federation";"Jewish Autonomous Oblast";"N/A";"N/A";"";"";"";"";"РусГидро";"";"";"";"";"";"";"";"";"";"";"";"РусГидро";"";"";""
"12214538901";"49.7823529";"-126.0452751";"charging_station";"Regional District of Alberni-Clayoquot";"Canada";"British Columbia";"N/A";"N/A";"";"";"";"";"BC Hydro";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5872497085";"49.6981524";"-124.988367";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"";"";"yes";"BC Hydro";"Q795720";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7090638494";"49.5246751";"-124.8555275";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8325719513";"49.6739481";"-124.9240141";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"2";"";"";"ChargePoint";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10215941437";"49.6895185";"-124.9997578";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"";"";"";"ChargePoint";"Q5176149";"";"";"";"";"";"";"";"";"";"";"ChargePoint";"";"07:00-19:00";""
"10861500680";"49.6199307";"-125.0328075";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"12114112569";"49.6190852";"-125.0322587";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.50 CAD";"";"yes"
"12214624601";"49.6982423";"-124.9899216";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"";"";"";"On The Run";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12696933431";"49.6869435";"-125.0015331";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"12696933432";"49.6243064";"-125.0270131";"charging_station";"";"Canada";"British Columbia";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
