"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"3715897687";"56.0167555";"12.7604531";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"1";"";"";"CLEVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"3718732206";"56.0903294";"12.7575521";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"8";"";"";"KB Väla Centrum AB Björka Gård";"";"8";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"3718732207";"56.0931047";"12.7632048";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"1";"";"";"IKEA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"no"
"5270596621";"55.9039881";"12.8073631";"charging_station";"Landskrona";"Sweden";"Skane";"N/A";"N/A";"";"";"";"";"Campingplatz / Tesla + Andere (22kW)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5972725971";"56.1312864";"13.1287614";"charging_station";"Klippans Kommun";"Sweden";"Skane";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"Mer";"";"";""
"9051699590";"56.0849261";"12.9139177";"charging_station";"Bjuvs Kommun";"Sweden";"Skane";"N/A";"N/A";"";"4";"";"";"Bee";"";"";"";"";"4";"";"";"";"";"";"";"Mer";"";"";""
"9214930389";"55.9388552";"12.8176842";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"OKQ8";"";"";""
"9334550275";"55.940308";"12.8189572";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"2";"";"";"E.ON";"Q270223";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10278998637";"56.0477278";"12.6900109";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"Mer";"";"";""
"10742002838";"56.06527";"12.70906";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"4";"";"";"Fastighets AB Briggen i Helsingborg";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";""
"10742002840";"56.28715";"12.86959";"charging_station";"Angelholms Kommun";"Sweden";"Skane";"N/A";"N/A";"";"20";"";"";"Ängelholms Flygplats AB";"";"";"";"";"20";"";"";"";"";"";"";"";"";"";""
"10742002841";"56.07757";"12.71812";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"2";"";"";"Fastighets AB Briggen Kniven";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";""
"10742002844";"56.03882";"12.7011";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"Mer";"";"";""
"10742002851";"56.254935";"12.890079";"charging_station";"Angelholms Kommun";"Sweden";"Skane";"N/A";"N/A";"";"6";"";"";"BRÄNNBORN FASTIGHETER";"";"";"";"";"6";"";"";"";"";"";"";"";"";"";""
"10742002854";"56.24311";"12.86524";"charging_station";"Angelholms Kommun";"Sweden";"Skane";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Mer";"";"";""
"10742002859";"55.912638";"13.10986";"charging_station";"Svalovs Kommun";"Sweden";"Skane";"N/A";"N/A";"";"8";"";"";"Svalövs Energi AB";"";"";"";"";"8";"";"";"";"";"";"";"";"";"";""
"10742002862";"56.05912";"12.70496";"charging_station";"Helsingborg";"Sweden";"Skane";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"OKQ8";"";"";""
