"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"12082208339";"37.5074168";"67.4231177";"charging_station";"";"Uzbekistan";"Surxondaryo";"N/A";"N/A";"";"1";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ392";"";"";"";"TOK BOR";"";"";"yes"
"12070963046";"37.8310765";"67.5915096";"charging_station";"";"Uzbekistan";"Surxondaryo";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ091";"";"";"";"TOK BOR";"";"";"yes"
"12075068126";"37.9594263";"67.7371785";"charging_station";"";"Uzbekistan";"Surxondaryo";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ346";"";"";"";"TOK BOR";"";"";"yes"
"12079443317";"37.7365563";"67.5092914";"charging_station";"";"Uzbekistan";"Surxondaryo";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ250";"";"";"";"TOK BOR";"";"";"yes"
"12074598305";"38.2971106";"67.9007788";"charging_station";"";"Uzbekistan";"Surxondaryo";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ206";"";"";"";"TOK BOR";"";"";"yes"
"9931706544";"38.5972753";"68.7606235";"charging_station";"";"Tajikistan";"Dushanbe";"N/A";"N/A";"";"2";"";"";"ЯК Такси";"";"";"";"";"";"";"";"";"";"";"";"";"somoni";"";"yes"
"12071501033";"39.6215006";"68.4768829";"charging_station";"";"Tajikistan";"Viloyati Sughd";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ127";"";"";"";"TOK BOR";"";"";"yes"
"12074549750";"40.0107536";"67.5992724";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ202";"";"";"";"TOK BOR";"";"";"yes"
"12119574162";"40.077998";"67.7074306";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"TOSHELECTROAPPARAT";"";"";"";"";"";"";"";"";"";"";"";"GreenTE Sangzor";"";"";"yes"
"12234466290";"40.0311293";"67.6225804";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"ИП ООО ""TOSHELECTROAPPARAT""";"";"";"";"";"";"";"";"";"";"";"";"GreenTE";"";"";"yes"
"12069775989";"40.0857739";"67.9347301";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ131";"";"";"";"TOK BOR";"";"";"yes"
"12072973192";"40.1591002";"67.9583499";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"1";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ410";"";"";"";"TOK BOR";"";"";"yes"
"12072973193";"40.159265";"67.9583265";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ156";"";"";"";"TOK BOR";"";"";"yes"
"12072973194";"40.1595043";"67.9583943";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ155";"";"";"";"TOK BOR";"";"";"yes"
"12074832265";"40.0669321";"67.8689444";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"3";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ240";"";"";"";"TOK BOR";"";"";"yes"
"12074912130";"40.0814646";"67.929199";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"3";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ241";"";"";"";"TOK BOR";"";"";"yes"
"12074930825";"40.0819622";"67.9307086";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"3";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ242";"";"";"";"TOK BOR";"";"";"yes"
"12079627093";"40.142724";"67.9555731";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ301";"";"";"";"TOK BOR";"";"";"yes"
"12079853006";"40.1390588";"68.4886494";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ320";"";"";"";"TOK BOR";"";"";"yes"
"12082807281";"39.9416169";"68.3866352";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"1";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ498";"";"";"";"TOK BOR";"";"";"yes"
"12082809231";"39.9395676";"68.3912343";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"4";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ484";"";"";"";"TOK BOR";"";"";"yes"
"12082825196";"39.9419363";"68.3885151";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"1";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ497";"";"";"";"TOK BOR";"";"";"yes"
"12082898168";"39.9793074";"68.4127421";"charging_station";"";"Uzbekistan";"Jizzax";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ496";"";"";"";"TOK BOR";"";"";"yes"
"12071462901";"40.1827444";"68.678769";"charging_station";"";"Tajikistan";"Viloyati Sughd";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ124";"";"";"";"TOK BOR";"";"";"yes"
"12071596736";"40.5032175";"68.5201479";"charging_station";"";"Kazakhstan";"Ongtustik Qazaqstan";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ133";"";"";"";"TOK BOR";"";"";"yes"
"12079801353";"40.5070682";"68.7807356";"charging_station";"";"Uzbekistan";"Sirdaryo";"N/A";"N/A";"";"1";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ317";"";"";"";"TOK BOR";"";"";"yes"
"12079807930";"40.6155495";"68.7104388";"charging_station";"";"Uzbekistan";"Sirdaryo";"N/A";"N/A";"";"2";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ315";"";"";"";"TOK BOR";"";"";"yes"
"12119543855";"40.5477117";"68.4081649";"charging_station";"";"Kazakhstan";"Ongtustik Qazaqstan";"N/A";"N/A";"";"2";"";"";"TOSHELECTROAPPARAT";"";"";"";"";"";"";"";"";"";"";"";"GreenTE Sardoba";"";"";"yes"
"12082932212";"40.2223138";"69.2597521";"charging_station";"";"Uzbekistan";"Toshkent";"N/A";"N/A";"";"6";"";"";"OOO ""TOK BOR""";"";"";"";"";"";"";"";"UZ509";"";"";"";"TOK BOR";"";"";"yes"
