"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"5545349322";"-1.4445267";"31.4382788";"charging_station";"";"Tanzania";"Kagera";"N/A";"N/A";"";"";"";"";"JR station";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10989027805";"0.2925712";"32.5681744";"charging_station";"Kampala District";"Uganda";"Central Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8121290484";"1.532398";"30.2541594";"charging_station";"";"Congo";"Eastern Province";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4869649421";"1.7609917";"33.237558";"charging_station";"Kaberamaido District";"Uganda";"Eastern Region";"N/A";"N/A";"";"";"";"";"Aperkira";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"740750567";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6935230445";"3.7572905";"34.8166104";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6935230446";"3.7572968";"34.8166373";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6935230448";"3.7573177";"34.8166053";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11007119435";"3.7573228";"34.8166325";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11209171186";"3.7572961";"34.8166336";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11209171187";"3.7572782";"34.8166369";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11209171188";"3.7572745";"34.8166176";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11209171189";"3.7572913";"34.8166145";"";"Kaabong District";"Uganda";"Northern Region";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
