"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"11353601357";"44.6385049";"22.6338276";"charging_station";"Municipiul Drobeta-Turnu Severin";"Romania";"Mehedinti";"N/A";"N/A";"";"2";"";"";"Enel X";"Q5376815";"";"";"";"";"";"";"";"";"";"";"Enel X";"";"";""
"11353601358";"44.6385526";"22.6340756";"charging_station";"Municipiul Drobeta-Turnu Severin";"Romania";"Mehedinti";"N/A";"N/A";"";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7470184908";"44.6234119";"22.653006";"charging_station";"Municipiul Drobeta-Turnu Severin";"Romania";"Mehedinti";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10971833905";"44.4313875";"24.3656819";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Strada Victoriei";"";"";"";"24/7";""
"10971833906";"44.427642";"24.3825343";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bulevardul Alexandru Ioan Cuza";"";"";"";"24/7";""
"10971834005";"44.4315713";"24.360399";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"2";"";"";"Altex";"";"";"";"";"";"";"";"";"";"";"";"Polyfazer";"";"24/7";"no"
"10971834105";"44.6451499";"24.2686949";"charging_station";"Municipiul Dragasani";"Romania";"Valcea";"N/A";"N/A";"";"";"";"";"Annabella";"";"";"";"";"";"";"";"";"";"Strada Tudor Vladimirescu";"";"";"";"24/7";""
"11029743727";"44.4358483";"24.3793005";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11032485478";"44.4220926";"24.3855971";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"2";"";"";"Lidl";"";"";"";"";"";"";"";"";"";"";"";"Lidl";"";"";"no"
"11083409798";"44.4315562";"24.3585657";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"Kaufland";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11141424730";"44.4212968";"24.384508";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11375946436";"44.4286812";"24.3645497";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12118686196";"44.4222258";"24.3832367";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12259272806";"44.4258872";"24.3761098";"charging_station";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"1122843808";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1122843809";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203202";"44.4220901";"24.3856642";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203203";"44.4220524";"24.3856298";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203204";"44.4220328";"24.3856719";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203205";"44.4220706";"24.3857064";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203206";"44.4221078";"24.3856275";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203207";"44.4220748";"24.3855957";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269203208";"44.4220591";"24.3856276";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10269216209";"44.4220921";"24.3856594";"";"Municipiul Slatina";"Romania";"Olt";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8977307974";"44.823811";"24.9095053";"charging_station";"Comuna Bradu";"Romania";"Arges";"N/A";"N/A";"";"6";"";"";"Tesla, Inc.";"Q478214";"";"";"";"";"";"";"";"";"";"";"Tesla, Inc.";"";"24/7";"yes"
"9657413230";"44.8111466";"25.0780025";"charging_station";"Oras Topoloveni";"Romania";"Arges";"N/A";"N/A";"";"2";"";"";"Lidl";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10828205787";"44.7550874";"25.0823805";"charging_station";"Comuna Cateasca";"Romania";"Arges";"N/A";"N/A";"";"2";"";"yes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4302290299";"44.4098768";"26.0589468";"charging_station";"Municipiul Bucuresti";"Romania";"Bucuresti";"N/A";"N/A";"";"";"";"";"Frigoservice";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5202780785";"44.50978";"26.0084025";"charging_station";"Comuna Mogosoaia";"Romania";"Ilfov";"N/A";"N/A";"";"";"";"";"Parter Rompetrol";"";"";"";"";"";"";"";"";"";"Șoseaua Odăii";"";"";"";"";""
"5213188223";"44.4770626";"26.0444996";"charging_station";"Comuna Chiajna";"Romania";"Ilfov";"N/A";"N/A";"";"1";"";"";"Mega Image";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5281674798";"44.4894092";"26.1262536";"charging_station";"Voluntari City";"Romania";"Ilfov";"N/A";"N/A";"";"2";"";"";"Renovatio e-charge";"Q115409077";"";"";"";"2";"";"";"";"";"";"";"";"";"";""
"5923863117";"44.5065566";"26.0866747";"charging_station";"Comuna Otopeni";"Romania";"Ilfov";"N/A";"N/A";"";"";"";"";"IKEA";"Q54078";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5931932043";"44.5081261";"26.0855556";"charging_station";"Comuna Otopeni";"Romania";"Ilfov";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6850860881";"44.4821381";"26.0316381";"charging_station";"Comuna Chiajna";"Romania";"Ilfov";"N/A";"N/A";"";"1";"";"";"Rompetrol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"7039468510";"44.4279973";"26.0201094";"charging_station";"Comuna Chiajna";"Romania";"Ilfov";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7110185023";"44.488851";"26.0939986";"charging_station";"Municipiul Bucuresti";"Romania";"Bucuresti";"N/A";"N/A";"";"6";"";"";"Lidl";"Q151954";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"7502213770";"44.3883753";"26.1058025";"charging_station";"Municipiul Bucuresti";"Romania";"Bucuresti";"N/A";"N/A";"";"4";"";"";"Polyfazer";"";"";"";"";"4";"";"";"";"";"";"";"";"";"24/7";""
"7502279908";"44.3751482";"26.11654";"charging_station";"Comuna Popesti-Leordeni";"Romania";"Ilfov";"N/A";"N/A";"";"2";"";"";"Polifazer";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";""
"7894350785";"44.3889142";"26.1189907";"charging_station";"Municipiul Bucuresti";"Romania";"Bucuresti";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7947306509";"44.4243164";"25.9982679";"charging_station";"Comuna Chiajna";"Romania";"Ilfov";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"no"
