"id";"lat";"lon";"amenity";"city";"state";"country";"scraped_country_code";"scraped_country_name";"authentication:nfc";"capacity";"capacity:car";"motorcar";"operator";"operator:wikidata";"socket:schuko";"socket:schuko:current";"socket:schuko:voltage";"socket:type2";"socket:type2:current";"socket:type2:voltage";"ref";"addr:housenumber";"addr:street";"addr:postcode";"brand";"charge";"opening_hours";"fee"
"4334300301";"-20.1439488";"28.566664";"charging_station";"";"Zimbabwe";"Bulawayo";"N/A";"N/A";"";"";"";"";"Cash Power";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4334343494";"-20.1053531";"28.505181";"charging_station";"";"Zimbabwe";"Bulawayo";"N/A";"N/A";"";"";"";"";"ZESA office";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5721330238";"-20.2983656";"57.3649359";"charging_station";"";"Mauritius";"Black River";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6414591685";"-20.0795811";"57.604092";"charging_station";"";"Mauritius";"Riviere du Rempart";"N/A";"N/A";"";"";"";"";"Total";"Q154037";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10846385107";"-20.2789833";"57.4042903";"charging_station";"";"Mauritius";"Black River";"N/A";"N/A";"";"1";"";"";"Shell";"Q110716465";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10880884336";"-20.2273717";"57.5070579";"charging_station";"";"Mauritius";"Moka";"N/A";"N/A";"";"40";"";"";"E-Motion";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"10880972401";"-20.241693";"57.4898927";"charging_station";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"40";"";"";"E-Motion";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11109604502";"-20.2856073";"57.6603808";"charging_station";"";"Mauritius";"";"N/A";"N/A";"";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EV go";"";"";""
"11114734505";"-20.3278755";"57.3856418";"charging_station";"";"Mauritius";"Black River";"N/A";"N/A";"";"50";"";"";"Total";"Q154037";"";"";"";"";"";"";"";"";"";"";"Total";"";"";""
"510587886";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"4";"";"";"Total";"Q154037";"";"";"";"";"";"";"";"";"Royal Road Rose Hill";"";"Total";"Rs 5.85";"";"yes"
"4995787133";"-20.2463141";"57.4796235";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4995787134";"-20.2463895";"57.4795609";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4995787135";"-20.2464674";"57.4796677";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4995787136";"-20.246392";"57.4797303";"";"";"Mauritius";"Plaines Wilhems";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11040399357";"-19.7659193";"-47.9511737";"charging_station";"Uberaba";"Brazil";"Minas Gerais";"N/A";"N/A";"";"22";"";"";"incharge";"";"";"";"";"";"";"";"";"";"";"";"incharge";"";"";""
"4998875823";"-19.7685873";"-44.0922267";"charging_station";"Ribeirao Das Neves";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"Petrobras - Posto Luma";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10004329264";"-19.8922445";"-43.9783609";"charging_station";"Belo Horizonte";"Brazil";"Minas Gerais";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10004330849";"-19.9649503";"-43.9623188";"charging_station";"Belo Horizonte";"Brazil";"Minas Gerais";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10004362622";"-19.9491727";"-43.9364432";"charging_station";"Belo Horizonte";"Brazil";"Minas Gerais";"N/A";"N/A";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1375420516";"";"";"charging_station";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12735252112";"-19.9592275";"-44.1915683";"";"Betim";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12735252113";"-19.9593207";"-44.191549";"";"Betim";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12735252114";"-19.9593284";"-44.1915916";"";"Betim";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12735252115";"-19.9592352";"-44.1916108";"";"Betim";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4883611726";"-19.498713";"-41.9774519";"charging_station";"Inhapim";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4950821221";"-19.0399727";"-46.222983";"charging_station";"Carmo Do Paranaiba";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"Petrobras";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10004346887";"-19.4726377";"-42.5581511";"charging_station";"Ipatinga";"Brazil";"Minas Gerais";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6817003487";"-18.9956764";"45.6978042";"charging_station";"";"Madagascar";"Bongolava";"N/A";"N/A";"";"";"";"";"HFF CENTRALE SOLAIRE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10004371471";"-18.9352999";"-48.232656";"charging_station";"Uberlandia";"Brazil";"Minas Gerais";"N/A";"N/A";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4949362224";"-18.5942435";"-46.5124107";"charging_station";"Patos De Minas";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"Petrobras";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4949389421";"-18.5960102";"-46.515508";"charging_station";"Patos De Minas";"Brazil";"Minas Gerais";"N/A";"N/A";"";"";"";"";"Shell";"Q110716465";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5250371660";"-18.9380993";"47.4960054";"charging_station";"";"Madagascar";"Analamanga";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5250371673";"-18.9387145";"47.4878434";"charging_station";"";"Madagascar";"Analamanga";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4764248030";"-18.4551824";"-70.2908719";"charging_station";"Provincia de Arica";"Chile";"Arica y Parinacota";"N/A";"N/A";"";"";"";"";"Trasportes ANTILLANCA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4147475194";"-18.4113323";"-70.1354095";"charging_station";"Provincia de Arica";"Chile";"Arica y Parinacota";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983903821";"-18.4559961";"-50.4536279";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"posto Zrma";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983903826";"-18.4465348";"-50.4570783";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"posto Jacarezinho";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983903827";"-18.4478733";"-50.4555572";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"posto Central";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983903829";"-18.449399";"-50.4475032";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"posto varejão";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983903830";"-18.4495282";"-50.4452577";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"posto Jacarezinho 2";"";"";"";"";"";"";"";"";"";"";"";"POSTO JACAREZINHO 2";"";"";""
"4983903832";"-18.4483128";"-50.439158";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"posto Lucas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983904030";"-18.4523005";"-50.4498137";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"POSTO SAO JUDAS TADEU 1";"";"";"";"";"";"";"";"";"";"";"";"POSTO SAO JUDAS TADEU 1";"";"";""
"4983904321";"-18.4494216";"-50.4521335";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983904322";"-18.4499427";"-50.4442872";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"BANDEIRA BRANCA";"";"";"";"";"";"";"";"";"";"";"";"POSTO UNIÃO";"";"";""
"4983946329";"-18.4479987";"-50.4495245";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4983960826";"-18.448398";"-50.4482816";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11384376944";"-18.4473108";"-50.4478369";"charging_station";"Quirinopolis";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"POSTO SÃO JUDAS TADEU 2";"";"";""
"5366105822";"-17.7869025";"-63.1621819";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"ATL San Jorge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9128574460";"-17.7522626";"-63.1991402";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"Ventura Mall";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"yes"
"11665527369";"-17.7660531";"-63.0854573";"charging_station";"";"Bolivia";"Santa Cruz";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12311370574";"-17.7776719";"-48.7538148";"charging_station";"Caldas Novas";"Brazil";"Goias";"N/A";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
