id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
8806724025,40.0647304,20.1667986,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9949597345,40.0815776,20.1405983,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11283984144,39.6582499,19.838298,charging_station,N/A,2,N/A,yes,BP Τζάβρος,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EKO Charge&Go,N/A,24/7,yes
11283984148,39.666206,19.855619,charging_station,N/A,2,N/A,yes,Grecotel Eva Palace,N/A,N/A,N/A,N/A,2,N/A,N/A,#580,N/A,N/A,N/A,nrg incharge,N/A,N/A,yes
11283984149,39.6655506,19.8491267,charging_station,N/A,5,N/A,yes,Grecotel Daphnila Bay,N/A,N/A,N/A,N/A,5,N/A,N/A,#582;#1127;#1128,N/A,N/A,N/A,nrg incharge,N/A,N/A,yes
11283984150,39.6637893,19.8455174,charging_station,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
11283984151,39.7962888,19.773595,charging_station,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
11283984152,39.7907586,19.8069863,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
11283984153,39.7964254,19.8222997,charging_station,N/A,4,N/A,yes,Costa Botanica,N/A,N/A,N/A,N/A,4,N/A,N/A,#1129;#1130,N/A,N/A,N/A,nrg incharge,N/A,N/A,yes
11283984154,39.8039971,19.8270628,charging_station,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
12822618760,39.807392,19.8367562,charging_station,N/A,1,N/A,yes,Villa Pami,N/A,N/A,N/A,N/A,1,N/A,N/A,#5470,N/A,N/A,N/A,nrg incharge,N/A,N/A,yes
12822656353,39.6671932,19.8571041,charging_station,N/A,2,N/A,yes,Grecotel Corfu Imperial,N/A,N/A,N/A,N/A,2,N/A,N/A,#581,N/A,N/A,N/A,nrg incharge,N/A,N/A,yes
12510990054,39.8729214,20.7480334,charging_station,N/A,3,N/A,yes,KORES BOUTIQUE Hotel,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12510990055,39.8819742,20.7468706,charging_station,N/A,1,N/A,yes,Mount Grace Suites & Spa,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12510990056,39.8382855,20.7101861,charging_station,N/A,1,N/A,yes,Αγγέλων Καταφύγιο,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12510990057,39.8797533,20.6746334,charging_station,N/A,1,N/A,yes,Apeiros Chora,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
9032416669,39.6802204,20.8393413,charging_station,N/A,2,N/A,yes,The Lake Hotel,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
9032420720,39.6642388,20.8411792,charging_station,N/A,N/A,N/A,N/A,EcoKEN,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
12544885282,39.7368324,20.7766941,charging_station,N/A,2,N/A,yes,Φαρμακείο Πλιάτσικα,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12544893525,39.7102075,20.7988465,charging_station,N/A,2,N/A,yes,Nousias Pastry Lab,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12546746615,39.6580592,20.8588364,charging_station,N/A,2,N/A,yes,My Market,N/A,N/A,N/A,N/A,2,N/A,N/A,#1071;#1072,N/A,N/A,N/A,nrg incharge,N/A,24/7,yes
