id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
3347843084,46.4968681,9.842545,charging_station,N/A,4,N/A,yes,Tesla,Q478214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Via Grevas,7500,Tesla Supercharger,N/A,24/7,yes
4540234590,46.8542993,9.5312713,charging_station,N/A,2,N/A,N/A,Raiffeisen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4707367084,46.5490722,9.8899227,charging_station,N/A,N/A,N/A,yes,Plug'n Roll,Q115241443,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Plug'n Roll,N/A,N/A,yes
5493606627,46.4526777,9.9414302,charging_station,N/A,2,N/A,yes,Plug'n Roll,Q115241443,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Plug'n Roll,N/A,24/7,yes
5523216927,46.8005269,9.826506,charging_station,N/A,1,N/A,yes,Steigenberger Grandhotel Belvedère,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,no
5523219093,46.8135168,9.8458698,charging_station,N/A,4,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5860961687,46.4929867,9.902809,charging_station,N/A,1,N/A,no,Gemeinde Pontresina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5860961688,46.4929744,9.9028246,charging_station,N/A,1,N/A,no,Gemeinde Pontresina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5860992302,46.4906408,9.9038203,charging_station,N/A,1,N/A,no,Gemeinde Pontresina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5861003410,46.4912449,9.8969126,charging_station,N/A,1,N/A,no,Gemeinde Pontresina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5861007248,46.4508384,9.9415676,charging_station,N/A,3,N/A,no,Gemeinde Pontresina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5861317473,46.5863065,9.9383112,charging_station,N/A,1,N/A,no,Gemeinde Madulain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5861327937,46.6020943,9.9591512,charging_station,N/A,1,N/A,no,Gemeinde Zuoz,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
6309008569,46.4896249,9.8079026,charging_station,N/A,4,N/A,N/A,El Paradiso,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6356456399,46.868478,9.8806855,charging_station,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
6712992101,46.5936212,9.6052144,charging_station,N/A,1,N/A,yes,Uffer AG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6828863136,46.4939522,9.9008779,charging_station,N/A,N/A,N/A,N/A,Kronenhof,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6920502372,46.8001074,9.8313159,charging_station,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6920502373,46.7997852,9.8310061,charging_station,N/A,4,N/A,N/A,EWD,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.00 + 0.35/kWh
7258430535,46.5970028,9.5923292,charging_station,yes,4,N/A,yes,Green Motion SA,Q86664476,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
7581406089,46.8661986,9.8817576,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
