id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
11194310949,43.0448368,16.0912303,charging_station,N/A,2,N/A,N/A,ELEN,Q127433242,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,Ulica hrvatskih mučenika,N/A,Elen,N/A,24/7,yes
6046075245,43.0093751,17.267457,charging_station,yes,2,N/A,N/A,ELEN,Q127433242,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0,35 €/kWh",24/7,yes
6046075247,43.0544846,17.6501015,charging_station,yes,N/A,N/A,N/A,ELEN,Q127433242,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0,35 €/kWh",24/7,yes
6046077649,43.0137073,17.5521566,charging_station,yes,N/A,N/A,N/A,ELEN,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,no
9398685566,42.9411446,17.3644564,charging_station,N/A,2,N/A,N/A,Elen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Elen,N/A,24/7,N/A
9963518011,43.0499901,17.4336849,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11220868693,42.7069885,18.3421408,charging_station,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Segment,N/A,N/A,N/A
7647140619,43.5319832,15.9605175,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,Uvala Soline,22203,N/A,N/A,N/A,N/A
12852944107,43.0618075,16.1727949,charging_station,N/A,2,N/A,N/A,ELEN,Q127433242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3956856694,43.5367347,16.300395,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3956859715,43.512844,16.5039959,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3956866162,43.503152,16.4478494,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3956869215,43.5103899,16.439365,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6046074115,43.534013,16.4958828,charging_station,yes,N/A,N/A,N/A,ELEN,Q127433242,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
