id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
10278969259,35.033782,32.425413,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:PAF-0002,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969260,34.71127,32.489487,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:PAF-0003,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969261,34.783821,32.443699,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:PAF-0001,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10803582945,34.7784102,32.4225729,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EAC,N/A,N/A,N/A
10861807763,35.033697,32.4250574,charging_station,N/A,N/A,N/A,N/A,Electricity Authority of Cyprus,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EAC eCharge - Polis Chrysochous,0.35,N/A,yes
9142577406,34.7002483,33.0318308,charging_station,N/A,2,N/A,N/A,Lidl,Q151954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9698364090,34.7146,33.163326,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0005,N/A,N/A,N/A,N/A,N/A,24/7,N/A
9811667151,34.6846601,33.059104,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0001,N/A,N/A,N/A,N/A,N/A,24/7,N/A
9964229098,34.6903388,33.071625,charging_station,N/A,N/A,N/A,N/A,Lidl,Q151954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10278969253,34.676665,33.046582,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0012,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969255,34.699545,32.96791,charging_station,N/A,2,N/A,N/A,Electricity Authority of Cyprus,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0011,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969264,34.658439,33.019888,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0009,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969265,34.690813,32.955247,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0008,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969266,34.699351,33.045221,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0006,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969267,34.708582,33.050497,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0004,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969268,34.673417,33.04562,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0002,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969269,34.892158,32.867484,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LIM-0003,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10660862055,34.7028454,33.0602329,charging_station,N/A,N/A,N/A,N/A,Porsche,Q40993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11225252872,34.710462,33.1658033,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joltie,N/A,N/A,N/A
11225403104,34.7134237,33.1676048,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joltie,N/A,N/A,N/A
11225403106,34.7041868,33.1108081,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joltie,N/A,N/A,N/A
11225403107,34.6889165,33.0707177,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joltie,N/A,N/A,N/A
12741327425,34.6832442,32.9726219,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pcharge,N/A,N/A,N/A
12742174888,34.6691839,33.0291194,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7756611220,34.897398,33.638181,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0001,N/A,N/A,N/A,N/A,N/A,24/7,N/A
9994911732,34.871446,33.606871,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0003,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969250,34.9225212,33.6123916,charging_station,N/A,2,N/A,N/A,Electricity Authority of Cyprus,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0008,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969251,34.9224586,33.612519,charging_station,N/A,2,N/A,N/A,Electricity Authority of Cyprus,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0007,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969252,34.817189,33.360348,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0006,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969254,35.002789,33.393304,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:NIC-0010,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969258,34.948633,33.58671,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0005,N/A,N/A,N/A,N/A,N/A,24/7,N/A
11225403112,34.9690489,33.6653756,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joltie,N/A,N/A,N/A
12645834604,34.7292595,33.3381013,charging_station,N/A,1,N/A,N/A,A.H.K.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10278969262,35.016806,34.049173,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0004,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969263,35.040084,33.983864,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:LAR-0002,N/A,N/A,N/A,N/A,N/A,24/7,N/A
11225403113,34.9953953,34.0656893,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joltie,N/A,N/A,N/A
1164922606,35.0652341,33.3875854,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9893770006,35.1859602,33.3504541,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10278969256,35.139258,33.335275,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:NIC-0009,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969257,35.127697,33.3749619,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:NIC-0008,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969270,35.1074476,33.3780682,charging_station,N/A,2,N/A,N/A,EAC,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:NIC-0006,N/A,N/A,N/A,N/A,N/A,24/7,N/A
10278969271,35.138809,33.373362,charging_station,N/A,2,N/A,N/A,Electricity Authority of Cyprus,Q5357793,N/A,N/A,N/A,N/A,N/A,N/A,CY:EAC:NIC-0001,N/A,N/A,N/A,N/A,N/A,24/7,N/A
