id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
1634700275,48.641437,12.488469,charging_station,N/A,4,N/A,N/A,Stadtwerke Dingolfing GmbH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2788625701,48.9952122,12.1146596,charging_station,N/A,2,N/A,yes,Innogy,Q2124721,N/A,N/A,N/A,2,N/A,N/A,BA-2481-4; BA-2492-9,N/A,N/A,N/A,Innogy,N/A,N/A,N/A
2788625702,48.9952313,12.114655,charging_station,N/A,2,N/A,yes,Innogy,Q2124721,N/A,N/A,N/A,2,N/A,N/A,BA-2047-3; BA-2059-4,N/A,N/A,N/A,Innogy,N/A,N/A,N/A
2788625704,48.9952468,12.1146513,charging_station,N/A,4,N/A,N/A,Conrad Electronic,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2859929205,48.9947447,12.1506747,charging_station,N/A,10,N/A,N/A,"Tesla, Inc.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tesla Supercharger,N/A,24/7,yes
2994467732,49.0131645,12.1544778,charging_station,yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3007370719,48.9939327,12.104193,charging_station,N/A,1,N/A,N/A,Porsche Zentrum Regensburg,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3069062609,48.8261336,12.3923929,charging_station,N/A,2,N/A,N/A,ESB Charging Station,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3093019965,48.8854079,12.5757188,charging_station,N/A,1,N/A,N/A,mer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,E1000383;E1000384,N/A,N/A,N/A,Mer,N/A,N/A,N/A
3093019966,48.885453,12.5757259,charging_station,N/A,4,N/A,yes,mer,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,Mer,N/A,N/A,N/A
3100443345,49.0130393,12.1440546,charging_station,yes,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,The new motion,N/A,N/A,N/A
3100443347,49.0132315,12.1311861,charging_station,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3134153790,48.5609418,12.1535917,charging_station,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454875223,48.6488656,12.4714539,charging_station,N/A,N/A,N/A,yes,BMW,Q26678,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454875224,48.6488801,12.4715532,charging_station,N/A,N/A,N/A,yes,BMW,Q26678,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454875225,48.6488929,12.4716484,charging_station,N/A,N/A,N/A,yes,BMW,Q26678,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454886494,48.6391435,12.4903704,charging_station,N/A,N/A,N/A,yes,BMW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454886496,48.6391545,12.490317,charging_station,N/A,N/A,N/A,yes,BMW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454886497,48.6391645,12.4902613,charging_station,N/A,N/A,N/A,yes,BMW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3454886498,48.639177,12.4901953,charging_station,N/A,N/A,N/A,yes,BMW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3471714614,49.0263747,12.115446,charging_station,yes,2,N/A,yes,Rewag,Q1592981,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
3471714622,49.0322289,12.1148845,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3589884004,48.8839443,12.5630696,charging_station,N/A,3,N/A,yes,N/A,N/A,3,N/A,230 V,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,no
3667536738,48.9937927,12.1502703,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3667536739,48.9938273,12.1502604,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3747859516,49.0408883,12.5388921,charging_station,N/A,3,N/A,N/A,E-WALD GmbH,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3791661824,49.0165664,12.1010699,charging_station,yes,2,N/A,N/A,Rewag,Q1592981,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
3971855573,48.5640469,12.1380649,charging_station,N/A,2,N/A,yes,Stadtwerke Landshut,N/A,N/A,N/A,N/A,2,32 A,400 V,N/A,N/A,N/A,N/A,N/A,"48,69 Cent/kWh",24/7,yes
4051478159,48.9813221,12.1704851,charging_station,N/A,N/A,N/A,N/A,BMW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Herbert-Quandt-Allee,93055,N/A,N/A,N/A,N/A
