id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
5993638712,60.2384788,19.5419781,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,3954;3955,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5784555056,60.1137098,19.914889,charging_station,N/A,1,N/A,yes,ACS-Energy,N/A,N/A,N/A,N/A,1,N/A,N/A,2883,N/A,N/A,N/A,N/A,N/A,24/7,no
5784642735,60.2300148,19.9886356,charging_station,N/A,N/A,N/A,yes,ÅEA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5784642736,60.2300181,19.9886437,charging_station,N/A,N/A,N/A,yes,ÅEA,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5784642742,60.2313143,20.0856883,charging_station,N/A,N/A,N/A,destination,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5993922509,60.1262473,19.9351343,charging_station,N/A,N/A,N/A,N/A,Allwinds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5993922510,60.1178068,19.9361776,charging_station,N/A,N/A,N/A,N/A,Plugit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plugit,N/A,N/A,N/A
6010783241,60.2404282,19.9636654,charging_station,N/A,N/A,N/A,N/A,Stallhagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6010814966,60.2257414,20.0673043,charging_station,N/A,8,N/A,N/A,Ålands Golfklubb,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 EUR/day,N/A,yes
6175884874,60.1282192,19.9353281,charging_station,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7711059931,60.1288315,19.9335384,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,no
7835533522,60.1006218,19.9416219,charging_station,N/A,2,N/A,N/A,VIRTA,Q97205884,N/A,N/A,N/A,N/A,N/A,N/A,5007;5008,N/A,N/A,N/A,VIRTA,N/A,N/A,N/A
8893750189,60.0989899,19.9426145,charging_station,N/A,3,N/A,yes,Tesla Destination Charger,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,"Tesla, Inc.",N/A,"Mo-Fr 10:00-18:00, Th 10:00-20:00, Sa 10:00-16:00",no
9258633688,60.1096673,19.9048112,charging_station,N/A,1,N/A,yes,ACS-Energy,N/A,N/A,N/A,N/A,1,N/A,N/A,40478,N/A,N/A,N/A,N/A,N/A,24/7,N/A
9258650299,60.1243767,19.9080494,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,37164;37165,N/A,N/A,N/A,N/A,N/A,24/7,N/A
9295710970,60.1244238,19.9081023,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,37164;37165,N/A,N/A,N/A,N/A,N/A,24/7,N/A
11389259033,60.0992287,19.9447493,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12292178126,60.1013151,19.9404779,charging_station,N/A,8,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212340;212380;212381;212382,N/A,N/A,N/A,N/A,N/A,24/7,yes
12292178127,60.1067984,19.9427752,charging_station,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212340;212380;212381;212382,N/A,N/A,N/A,N/A,N/A,24/7,yes
