id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
7203269885,51.8392459,-9.9013172,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8257668785,51.8345074,-9.8997404,charging_station,N/A,2,N/A,N/A,Sneem Hotel,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,"Tesla, Inc.",N/A,N/A,no
8510175276,51.6506749,-9.9106163,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,C2HQ3,N/A,N/A,N/A,N/A,N/A,24/7,yes
4368591955,51.7499691,-9.5531841,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,C6DLG,N/A,N/A,N/A,N/A,N/A,N/A,yes
5598638808,51.6817422,-9.4571008,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,C84QL,N/A,N/A,N/A,N/A,N/A,N/A,yes
8437344214,51.884191,-9.5896157,charging_station,N/A,2,N/A,N/A,ESB Group,Q3050566,N/A,N/A,N/A,1,N/A,N/A,C6YUQ,N/A,N/A,N/A,ecars,N/A,24/7,yes
8510175275,51.5537667,-9.2624745,charging_station,N/A,2,N/A,N/A,ESB Group,Q3050566,N/A,N/A,N/A,1,N/A,N/A,C66YV,N/A,N/A,N/A,ESB ecars,N/A,24/7,yes
9051104226,51.8779116,-9.5805829,charging_station,N/A,1,N/A,N/A,EasyGo,Q110158632,N/A,N/A,N/A,1,N/A,N/A,IE*EGO0066,N/A,N/A,N/A,N/A,N/A,N/A,no
9883717705,51.6796222,-9.4613315,charging_station,N/A,1,N/A,N/A,EasyGo,Q110158632,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
11113760389,51.5276523,-9.5459433,charging_station,N/A,2,N/A,N/A,ePower,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Raption 150,N/A,N/A,yes
11621607599,51.8715981,-9.6442783,charging_station,N/A,2,N/A,N/A,Clenergy EV,N/A,N/A,N/A,N/A,2,N/A,N/A,003193,N/A,N/A,N/A,N/A,N/A,N/A,yes
6977389423,51.7440009,-8.7392988,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,C84AQ,N/A,N/A,N/A,N/A,N/A,N/A,yes
6977389424,51.7414264,-8.72856,charging_station,N/A,2,N/A,N/A,ESB Group,Q3050566,N/A,N/A,N/A,1,N/A,N/A,C5N8Q,N/A,N/A,N/A,ecars,N/A,N/A,yes
8510175273,51.6207387,-8.8899182,charging_station,N/A,2,N/A,N/A,ESB Group,Q3050566,N/A,N/A,N/A,1,N/A,N/A,C622L,N/A,N/A,N/A,ecars,N/A,24/7,yes
8510175274,51.7216116,-9.1114915,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,C87R5,N/A,N/A,N/A,N/A,N/A,24/7,yes
9050683068,51.7439886,-8.7443227,charging_station,N/A,2,N/A,N/A,EasyGo,Q110158632,N/A,N/A,N/A,2,N/A,N/A,IE*EGO0157,N/A,N/A,N/A,Lidl,N/A,N/A,yes
9051071348,51.6236272,-8.8827723,charging_station,N/A,1,N/A,N/A,EasyGo,Q110158632,N/A,N/A,N/A,N/A,N/A,N/A,IE*EGO0515,N/A,N/A,N/A,N/A,N/A,N/A,yes
6484142163,51.7087437,-8.5204122,charging_station,N/A,2,N/A,N/A,ESB Group,Q3050566,N/A,N/A,N/A,1,N/A,N/A,C7BCB,N/A,N/A,N/A,ecars,N/A,N/A,yes
7170324112,51.87708,-8.6437617,charging_station,N/A,2,N/A,N/A,Dell EMC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
7170324113,51.8770466,-8.6437445,charging_station,N/A,2,N/A,N/A,Dell EMC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
7223644622,51.8765717,-8.6391582,charging_station,N/A,N/A,N/A,N/A,Dell EMC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7547391684,51.8786612,-8.466424,charging_station,N/A,2,N/A,N/A,ESB ecars,Q3050566,N/A,N/A,N/A,2,N/A,N/A,C870G,N/A,N/A,N/A,N/A,N/A,24/7,yes
