id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
11012521480,41.0589208,61.9785386,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
11998483108,40.9063382,68.7001405,charging_station,N/A,1,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ483,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12071596783,40.7054927,68.698791,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ134,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12073274966,40.8922203,68.6760103,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ182,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12073426855,40.7992619,68.6759204,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ190,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12079807930,40.6155495,68.7104388,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ315,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12079810217,40.8491762,68.6673571,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ316,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12084439142,40.7034537,68.6997064,charging_station,N/A,1,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ535,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12234566849,40.7050673,68.6988793,charging_station,N/A,2,N/A,N/A,"ИП ООО ""TOSHELECTROAPPARAT""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GreenTE,N/A,N/A,yes
12073267961,40.8171116,69.2061482,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ177,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
11740455469,40.9069569,69.7971525,charging_station,N/A,2,N/A,N/A,GreenTE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GreenTE Ором,N/A,N/A,yes
