id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
1272891735,49.621709,6.096077,charging_station,N/A,2,N/A,yes,Enovos International LUX,N/A,N/A,N/A,N/A,2,N/A,N/A,BA-2401-9 / BA-2412-3,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
1581360473,49.5418527,6.1154578,charging_station,N/A,6,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
1702694846,49.7495603,6.1054314,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
1839887531,49.4772824,6.0840702,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,yes
4551412350,49.876252,6.2174636,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
4569994725,49.5249652,5.8931872,charging_station,N/A,2,N/A,yes,Enovos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4714073059,49.887316,5.814634,charging_station,N/A,2,2,yes,Electris;Commune de Boulaide,N/A,2,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
4725584589,49.622952,6.051575,charging_station,N/A,4,N/A,yes,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
4725697890,49.5760775,6.0915464,charging_station,N/A,N/A,N/A,N/A,Provencale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4881814990,49.8438537,6.0962683,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
4928748422,49.5871123,5.804865,charging_station,N/A,N/A,N/A,N/A,Messancy (rue de la hart),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4946012901,49.5198421,5.9080844,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5236542306,49.5333714,5.8879885,charging_station,N/A,2,N/A,yes,Chargy,N/A,N/A,N/A,N/A,2,N/A,N/A,CP0154,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5365574126,49.6401602,6.0147467,charging_station,N/A,4,N/A,yes,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5412417922,49.5235491,5.8906331,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,CP0155,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5412417923,49.5210304,5.8819756,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5465199097,49.7633052,5.8526085,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378171,49.609135,6.054457,charging_station,N/A,2,N/A,yes,Chargy,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378172,49.6097014,6.0500737,charging_station,N/A,2,N/A,yes,Chargy,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378173,49.521903,6.045683,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378174,49.619196,6.071984,charging_station,N/A,2,N/A,yes,Chargy,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378175,49.7881792,6.0630547,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378176,49.6107,6.052428,charging_station,N/A,4,N/A,yes,Chargy,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378177,49.864159,6.150861,charging_station,N/A,4,N/A,yes,Chargy,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378179,49.7550535,6.1101633,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378180,49.58595,6.171928,charging_station,N/A,2,N/A,yes,Chargy,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378181,49.699238,6.1410915,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378182,49.584116,6.143362,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378185,49.5649686,6.1614937,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
5481378186,49.5072881,6.0047124,charging_station,N/A,2,N/A,yes,Chargy,Q62702950,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Chargy,N/A,24/7,N/A
