id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
7593159464,37.7268067,-8.7817615,charging_station,N/A,2,N/A,yes,Atlante,N/A,N/A,N/A,N/A,2,16,230,ODM-80003,N/A,Largo de Santa Maria,N/A,N/A,N/A,24/7,yes
7593177680,37.7234737,-8.7852212,charging_station,N/A,2,N/A,yes,Galp Power,N/A,N/A,N/A,N/A,2,16,230,ODM-90004,N/A,Avenida Marginal,N/A,Galp electric,N/A,24/7,yes
8162483944,37.4951679,-8.6543919,charging_station,N/A,2,N/A,yes,Tesla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dc28536,N/A,N/A,N/A,N/A,N/A,N/A,no
8162484137,37.600557,-8.6214072,charging_station,N/A,2,N/A,yes,Tesla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dc80210,N/A,N/A,N/A,N/A,N/A,N/A,no
8162519168,37.7214386,-8.6751038,charging_station,N/A,2,N/A,yes,Tesla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dc50395,N/A,N/A,N/A,N/A,N/A,N/A,no
8162525918,37.9052312,-8.6428365,charging_station,N/A,2,N/A,yes,Tesla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dc40386,N/A,N/A,N/A,N/A,N/A,N/A,no
8207100965,37.9664357,-8.8575363,charging_station,N/A,2,N/A,yes,Charging Together,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SNS-00018,N/A,N/A,N/A,Iberdrola bp pulse,N/A,24/7,yes
8270470890,37.7782326,-8.7899101,charging_station,N/A,2,N/A,yes,Orbitur,N/A,N/A,N/A,N/A,2,32,400,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
8387684711,37.965155,-8.8589191,charging_station,N/A,1,N/A,yes,Mobiletric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SNS-00003,N/A,N/A,N/A,N/A,N/A,24/7,yes
8398426961,37.9309,-8.8072211,charging_station,N/A,2,N/A,yes,EDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SNS-00001,N/A,N/A,N/A,N/A,N/A,N/A,yes
8592789715,37.959518,-8.8586403,charging_station,N/A,2,N/A,yes,Galp Power,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SNS-00006,N/A,Avenida General Humberto Delgado,N/A,Galp electric,N/A,24/7,yes
8647618654,37.5985,-8.645917,charging_station,N/A,2,N/A,yes,EDP,N/A,N/A,N/A,N/A,2,32,400,ODM-90001,N/A,N/A,N/A,N/A,N/A,24/7,yes
8781140429,37.9591743,-8.8552961,charging_station,N/A,2,N/A,yes,KLC Serviços,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SNS-00016,N/A,N/A,N/A,N/A,N/A,24/7,yes
9458654673,37.5987643,-8.6455818,charging_station,N/A,2,N/A,yes,Repsol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ODM-00005,N/A,N/A,N/A,N/A,N/A,24/7,yes
