id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
5838835243,49.3029684,14.1365451,charging_station,yes,4,N/A,yes,ČEZ,Q336735,N/A,N/A,N/A,2,32,400,N/A,2454,Hradišťská,39701,N/A,N/A,24/7,yes
8398837073,49.3088178,14.1437978,charging_station,N/A,3,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8678734873,49.0509392,14.4323771,charging_station,N/A,2,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
9047345833,49.1809888,14.3863475,charging_station,N/A,N/A,N/A,N/A,ČEZ,Q336735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9097865343,49.3035559,14.1398707,charging_station,N/A,2,N/A,yes,PRE,Q15870812,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,N/A
9248914529,49.303954,14.1395086,charging_station,N/A,2,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
9376407167,49.2989278,14.1419625,charging_station,N/A,N/A,N/A,N/A,ČEZ,Q336735,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9443099096,49.2987059,14.1455599,charging_station,N/A,N/A,N/A,N/A,Swarco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10305161139,49.0428122,14.4446889,charging_station,N/A,N/A,N/A,no,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,103,1276,Sportovní,373 41,Powerbox.one,N/A,Apr-Oct: Mo-Su 10:00-19:00,no
10305163536,49.0488844,14.4431603,charging_station,N/A,N/A,N/A,no,Ředitelství vodních cest ČR,Q10513472,N/A,N/A,N/A,N/A,N/A,N/A,72,1333,Podskalí,373 41,Powerbox.one,N/A,Apr-Oct: Mo-Su 09:00-19:00,no
10607547219,49.2965333,14.1615889,charging_station,N/A,N/A,N/A,no,CYKLOŠVEC,Q54940341,N/A,N/A,N/A,N/A,N/A,N/A,251,2509,U Hřebčince,397 01,Powerbox.one,N/A,Apr-Oct: Mo-Fr 08:00-17:00; Apr-Oct: Sa 09:00-12:00,no
10635543743,49.1809625,14.3863406,charging_station,N/A,N/A,N/A,no,ČEZ,Q336735,N/A,N/A,N/A,N/A,N/A,N/A,14,1,Březí u Týna nad Vltavou,373 01,Powerbox.one,N/A,Mo-Su 09:00-16:00,no
10636192222,49.4279289,14.4181953,charging_station,N/A,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,20,Sepekov,398 51,Powerbox.one,N/A,Apr-Oct: Mo-Su 09:00-16:00,no
10678238172,49.4501425,14.3601556,charging_station,N/A,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,6,nám. E. Beneše,399 01,Powerbox.one,N/A,"Mo-Fr 08:30-12:00,13:00-17:00; Sa-Su 09:00-12:00",no
10721834927,49.0056074,14.448406,charging_station,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
10837671620,49.2956912,14.468172,charging_station,N/A,2,N/A,N/A,Město Bechyně,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10837671621,49.4295926,14.5879955,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10837671622,49.429599,14.5880797,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11309686427,49.0037676,14.4471806,charging_station,N/A,2,N/A,yes,LKQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11601972784,49.3207189,14.1570319,charging_station,N/A,N/A,N/A,no,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,489,2403,Sulanov,397 01,Powerbox.one,N/A,Mar-Sep Mo 10:00-24:00; Mar-Sep Tu-Su 10:00-22:00,no
12460522237,49.0111261,14.5918393,charging_station,N/A,2,N/A,N/A,ČEZ,Q336735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
12463337951,49.0655148,14.531025,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12463337960,49.0672969,14.5309896,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12842332446,49.140749,14.183267,charging_station,N/A,N/A,N/A,no,ORLEN Unipetrol RPA,Q11878499,N/A,N/A,N/A,N/A,N/A,N/A,636,N/A,N/A,N/A,Powerbox.one,N/A,05:00-21:00,no
5320291720,49.3734167,14.9613163,charging_station,N/A,N/A,N/A,yes,Město Černovice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,N/A
8301927843,49.1721135,14.732643,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8388495743,49.2486642,14.7212073,charging_station,N/A,1,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8388512645,49.1827566,14.8500235,charging_station,N/A,1,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8388526531,49.263335,14.712974,charging_station,N/A,1,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8388547779,49.2624801,14.7171332,charging_station,N/A,1,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8678749030,49.2543495,14.7184203,charging_station,N/A,2,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8941122756,49.0195287,15.1022629,charging_station,N/A,4,N/A,no,COOP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
