id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
4917327221,32.8669198,-17.1675526,charging_station,N/A,2,N/A,yes,Emacom,N/A,N/A,N/A,N/A,2,32,400,PMZ-00003,N/A,N/A,N/A,N/A,N/A,24/7,yes
5645722923,32.8032186,-16.8810984,charging_station,N/A,2,N/A,yes,Emacom,N/A,N/A,N/A,N/A,2,32,400,STN-00003,N/A,N/A,N/A,N/A,N/A,24/7,yes
8082166425,32.6472363,-16.9038921,charging_station,N/A,2,N/A,yes,Emacom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FNC-00040,N/A,N/A,N/A,N/A,N/A,24/7,yes
8082166503,32.6499255,-16.9787706,charging_station,N/A,2,N/A,yes,Emacom,N/A,N/A,N/A,N/A,1,32,400,RAM-CML-00001,N/A,Avenida Nova Cidade,N/A,N/A,N/A,24/7,yes
8082177012,32.7209468,-17.1783042,charging_station,N/A,1,N/A,yes,Factor Energia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CLT-00005,N/A,Avenida Dom Manuel I,N/A,N/A,N/A,24/7,yes
8082201013,32.8077354,-17.0476478,charging_station,N/A,2,N/A,yes,Emacom,N/A,N/A,N/A,N/A,1,32,400,SVC-00002,N/A,N/A,N/A,N/A,N/A,24/7,yes
8116260531,32.6452539,-16.9129714,charging_station,N/A,2,N/A,yes,Emacom,N/A,N/A,N/A,N/A,2,32,400,FUN-00003,N/A,N/A,N/A,N/A,N/A,24/7,yes
8116260532,32.6439338,-16.9213821,charging_station,N/A,2,N/A,yes,EcoInside,N/A,N/A,N/A,N/A,2,32,400,FNC-00055,N/A,N/A,N/A,N/A,N/A,24/7,yes
8116260533,32.636237,-16.9323403,charging_station,N/A,2,N/A,yes,EcoInside,N/A,N/A,N/A,N/A,2,32,400,FNC-00052,N/A,N/A,N/A,N/A,N/A,24/7,yes
8116260534,32.6361811,-16.9423851,charging_station,N/A,2,N/A,yes,EcoInside,N/A,N/A,N/A,N/A,2,32,400,FNC-00049,N/A,N/A,N/A,N/A,N/A,24/7,yes
