id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
8813850644,43.9373855,20.4001931,charging_station,N/A,2,N/A,N/A,Газпром,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"51,52,53",N/A,N/A,N/A,charge&GO,N/A,24/7,yes
12144831292,43.9350145,20.4017119,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12144831293,43.9351062,20.4016985,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6797205413,44.0023505,20.8910355,charging_station,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8185526053,44.012879,20.9132561,charging_station,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8821129797,44.0089403,20.8961752,charging_station,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,73;74;75;76;77,N/A,N/A,N/A,charge&GO,N/A,24/7,yes
10869327403,43.7857738,21.1452706,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Tesla,N/A,24/7,N/A
10961924286,44.0040774,20.9128151,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,no
11283269584,43.6227963,20.8936739,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10078413138,43.8634667,21.421247,charging_station,N/A,1,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Tesla, Inc.",1000 RSD / 30 min,24/7,yes
10961948836,43.862896,21.4113654,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
11161539392,43.8670655,21.4076598,charging_station,N/A,1,N/A,yes,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,"Tesla, Inc.",N/A,24/7,N/A
11688511922,43.8645825,21.6256113,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tesla,N/A,N/A,N/A
10864765534,43.643927,21.8825679,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
11159497626,43.9031428,22.2683158,charging_station,N/A,2,N/A,N/A,Charge&Go,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Charge&Go,N/A,N/A,N/A
11438147240,43.9942799,22.9477863,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
12141883774,43.985713,22.8292747,charging_station,N/A,4,N/A,yes,Финес Енерджи ООД,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3725,Sungrow,N/A,24/7,yes
12172074772,44.0204176,22.9393592,charging_station,N/A,2,N/A,yes,N/A,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12169598854,43.7589432,23.7433796,charging_station,N/A,2,N/A,yes,N/A,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
8732040832,43.7857298,24.484605,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10570818358,43.7565917,24.8753347,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12456096966,43.9728577,25.3452855,charging_station,N/A,N/A,N/A,N/A,Renovatio e-charge,Q115409077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10840853375,43.9083112,25.9869656,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12120295009,43.8322795,25.9720176,charging_station,N/A,2,N/A,yes,Финес Енерджи ООД,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,бул. Христо Ботев,7018,N/A,N/A,24/7,yes
12146251374,43.834788,25.9673124,charging_station,N/A,2,N/A,yes,N/A,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
12169764422,43.871131,25.9996907,charging_station,N/A,2,N/A,yes,N/A,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12174315618,43.8542492,25.9912243,charging_station,N/A,2,N/A,yes,N/A,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes
12180278493,43.9010282,26.0626575,charging_station,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GigaCharger,0.36 BGN / kWh,N/A,yes
12180278494,43.9011867,26.0624255,charging_station,N/A,2,N/A,yes,Финес Енерджи ООД,Q128904354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
12238318970,43.897485,25.9635573,charging_station,N/A,N/A,N/A,N/A,Kaufland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
