id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
3715897687,56.0167555,12.7604531,charging_station,N/A,1,N/A,N/A,CLEVER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
3718732206,56.0903294,12.7575521,charging_station,N/A,8,N/A,N/A,KB Väla Centrum AB Björka Gård,N/A,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
3718732207,56.0931047,12.7632048,charging_station,N/A,1,N/A,N/A,IKEA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
5270596621,55.9039881,12.8073631,charging_station,N/A,N/A,N/A,N/A,Campingplatz / Tesla + Andere (22kW),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5972725971,56.1312864,13.1287614,charging_station,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,Mer,N/A,N/A,N/A
9051699590,56.0849261,12.9139177,charging_station,N/A,4,N/A,N/A,Bee,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,Mer,N/A,N/A,N/A
9214930389,55.9388552,12.8176842,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,OKQ8,N/A,N/A,N/A
9334550275,55.940308,12.8189572,charging_station,N/A,2,N/A,N/A,E.ON,Q270223,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10278998637,56.0477278,12.6900109,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Mer,N/A,N/A,N/A
10742002838,56.06527,12.70906,charging_station,N/A,4,N/A,N/A,Fastighets AB Briggen i Helsingborg,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10742002840,56.28715,12.86959,charging_station,N/A,20,N/A,N/A,Ängelholms Flygplats AB,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10742002841,56.07757,12.71812,charging_station,N/A,2,N/A,N/A,Fastighets AB Briggen Kniven,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10742002844,56.03882,12.7011,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,Mer,N/A,N/A,N/A
