id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
4219343926,46.2255517,6.0856308,charging_station,N/A,N/A,N/A,N/A,EVite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4239407469,46.2192923,6.1130355,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4457187880,45.8824124,6.3276007,charging_station,N/A,4,N/A,yes,eborn Syane,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
4616586339,46.2559942,6.1074903,charging_station,N/A,2,N/A,yes,Schneider Electric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
4714314859,46.2276575,5.9939882,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4714322462,46.2188535,6.1438498,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4866630975,46.1698417,6.3159016,charging_station,N/A,3,N/A,yes,Super U,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5180140108,46.0718398,6.3050661,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5198504094,46.0681771,6.303752,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5755664651,45.9356087,6.1235092,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5774614445,46.2084625,6.4056605,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,FR*S74*P74037*A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5787752332,46.1377687,6.2701291,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5802398678,46.0666076,6.3117904,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
5913630902,45.8990872,6.1220564,charging_station,N/A,2,N/A,yes,SPBR1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes
