id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
12695114197,36.2039691,57.6531574,charging_station,N/A,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3339389677,36.2841593,59.6192128,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5601793521,36.7230102,57.8355105,charging_station,N/A,N/A,N/A,N/A,خانه باغ عباس توکلیان,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4382019593,37.9062865,58.4183607,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12082323778,38.589409,66.3224077,charging_station,N/A,3,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ433,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12070982720,38.3298118,66.585885,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ089,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12072867765,38.8604069,65.7999934,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ141,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12074591699,38.8296136,65.7575439,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ205,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12075189190,39.0429039,65.6043666,charging_station,N/A,4,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ326 UZ363,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12684565474,38.8116814,65.775726,charging_station,N/A,N/A,N/A,N/A,Tezroq,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tezroq,N/A,N/A,N/A
11957684926,38.7215575,66.2339529,charging_station,N/A,3,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ466,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12075131448,38.9709145,66.667695,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ297 UZ349,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12079913630,39.1814982,65.3292546,charging_station,N/A,4,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ326,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12074528252,39.2175964,66.2467207,charging_station,N/A,2,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ203,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
12082360432,39.4639942,66.4363504,charging_station,N/A,1,N/A,N/A,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ436,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
10689581549,39.7683478,64.4323254,charging_station,N/A,2,N/A,yes,"OOO ""TOK BOR""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,UZ067,N/A,N/A,N/A,TOK BOR,N/A,N/A,yes
