id,lat,lon,amenity,authentication:nfc,capacity,capacity:car,motorcar,operator,operator:wikidata,socket:schuko,socket:schuko:current,socket:schuko:voltage,socket:type2,socket:type2:current,socket:type2:voltage,ref,addr:housenumber,addr:street,addr:postcode,brand,charge,opening_hours,fee
10738040107,1.9362224,-60.5940476,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6422112485,2.1708575,-72.1472326,charging_station,N/A,N/A,N/A,N/A,puerto de embarque fluvial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6326550385,2.8904877,-73.2176759,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4858345621,3.3655523,-59.8401516,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6409892986,3.7898289,-71.4240266,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6400658176,7.1166407,-73.120127,charging_station,N/A,2,N/A,N/A,ESSA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4198874895,10.1715442,-73.1366164,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4269724992,10.3993383,-71.4684266,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12780228157,10.4500039,-66.8756648,charging_station,N/A,1,N/A,yes,Swing Energy,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Swing Energy,N/A,Mo-Su 08:00-18:00,no
12781059660,10.4645985,-66.9779252,charging_station,N/A,1,N/A,yes,Swing Energy,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Swing Energy,N/A,Mo-Fr 06:00-21:00; Sa 07:00-17:00,no
12785162844,10.5117704,-66.8963769,charging_station,N/A,1,N/A,yes,Vencharger,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Vencharger,N/A,24/7,no
12785162845,10.4670127,-66.8709683,charging_station,N/A,1,N/A,yes,Vencharger,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Vencharger,N/A,Mo-Su 06:00-23:00,no
12785195316,10.4861774,-66.8543715,charging_station,N/A,1,N/A,yes,Vencharger,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Vencharger,N/A,24/7,no
12785195317,10.4862163,-66.8543722,charging_station,N/A,1,N/A,yes,Vencharger,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Vencharger,N/A,24/7,no
1380575644,,,charging_station,N/A,9,N/A,yes,Swing Energy,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,Swing Energy,N/A,24/7,no
12781972658,10.5966244,-67.0010724,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12781972659,10.5966268,-67.0010177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12781972660,10.5963734,-67.0010067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12781972661,10.5963711,-67.0010614,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12780228156,10.5022232,-66.8507495,charging_station,N/A,1,N/A,customers,Swing Energy,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Swing Energy,N/A,Mo-Su 10:00-23:00,no
12785082977,10.5022091,-66.850495,charging_station,N/A,1,N/A,customers,Vencharger,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Vencharger,N/A,Mo-Sa 11:30-24:00;Su 12:30-22:00,no
4535397589,10.3496723,-61.5849382,charging_station,N/A,N/A,N/A,N/A,Oldendorff,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10904301569,10.4159971,-61.4175563,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NP,N/A,N/A,N/A
4487703890,10.602081,-61.3398823,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1382691947,,,charging_station,N/A,4,N/A,yes,Swing Energy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Swing Energy,N/A,24/7,no
12801564830,10.9173602,-63.9672248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12801564831,10.9173686,-63.9671809,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12801564832,10.9172928,-63.9671658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12801564833,10.9172843,-63.9672097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12801564842,11.1300822,-63.8476226,charging_station,N/A,1,N/A,customers,Swing Energy,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,Swing Energy,N/A,Mo-Su 10:00-23:00,no
4779254121,12.5172351,-70.0292326,charging_station,N/A,N/A,N/A,N/A,Elmar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4779254122,12.5459652,-70.0399216,charging_station,N/A,N/A,N/A,N/A,Elmar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6622561167,12.5641864,-70.0317349,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9379370491,12.5331583,-70.0026815,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5480568162,13.1528035,-61.22529,charging_station,N/A,N/A,N/A,N/A,Energy Unit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6311925531,14.5840177,-61.002621,charging_station,N/A,2,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8145893917,14.6176868,-61.0242381,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9cts/km or 5cts/km pour abonnés,N/A,yes
8145910319,14.6162242,-61.023964,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
10779340151,14.4709694,-60.8668616,charging_station,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11109169088,14.608132,-61.04941,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,FR*EZD*E45695,N/A,N/A,N/A,N/A,N/A,24/7,no
11109169108,14.5949331,-61.0463354,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E63047,FR*EZD*E63048,FR*EZD*E93917,FR*EZD*E93918,FR*EZD*E63053,FR*EZD*E63054",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169118,14.614933,-61.03312,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E38632,FR*EZD*E38633",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169120,14.62848,-61.0255406,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E38638,FR*EZD*E38639",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169122,14.61776,-61.02603,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E26669, FR*EZD*E26670",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169132,14.609692,-60.99684,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E63135,FR*EZD*E63136",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169134,14.5607139,-60.9368584,charging_station,N/A,N/A,N/A,N/A,GREEN TECHNOLOGIE,N/A,N/A,N/A,N/A,yes,N/A,N/A,VRT_NB_1392,N/A,N/A,N/A,N/A,N/A,24/7,no
11109169135,14.604876,-61.00997,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E45697,FR*EZD*E45709",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169136,14.601781,-60.972756,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E95818, FR*EZD*E95819",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169138,14.612948,-60.99128,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E63031, FR*EZD*E63032, FR*EZD*E112993, FR*EZD*E112994",N/A,N/A,N/A,N/A,N/A,24/7,no
11109169139,14.486406,-60.9022081,charging_station,N/A,N/A,N/A,N/A,GREEN TECHNOLOGIE,N/A,N/A,N/A,N/A,yes,N/A,N/A,VRT_NB_243_2,N/A,N/A,N/A,N/A,N/A,24/7,no
11109169141,14.472874,-61.04232,charging_station,N/A,N/A,N/A,N/A,Green Technologie,N/A,N/A,N/A,N/A,yes,N/A,N/A,"FR*EZD*E20771, FR*EZD*E20772",N/A,N/A,N/A,N/A,N/A,24/7,no
12092199773,14.4909322,-61.080337,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12092199873,14.5381941,-61.0671063,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12092227369,14.5398191,-61.0659719,charging_station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rue Caret,97229,N/A,N/A,N/A,N/A
