id,type,lat,lon,name,operator,capacity,ref,authentication,fee,payment:cards,payment:credit_cards,payment:cash,socket_outlet:type,socket_outlet:count,socket_outlet:max_power,opening_hours,access,website,phone,socket_outlet:1:type,socket_outlet:1:power,socket_outlet:1:current,socket_outlet:1:voltage,socket_outlet:2:type,socket_outlet:2:power,socket_outlet:2:current,socket_outlet:2:voltage,socket_outlet:3:type,socket_outlet:3:power,socket_outlet:3:current,socket_outlet:3:voltage,socket_outlet:4:type,socket_outlet:4:power,socket_outlet:4:current,socket_outlet:4:voltage,socket_outlet:5:type,socket_outlet:5:power,socket_outlet:5:current,socket_outlet:5:voltage,socket_outlet:6:type,socket_outlet:6:power,socket_outlet:6:current,socket_outlet:6:voltage,socket_outlet:7:type,socket_outlet:7:power,socket_outlet:7:current,socket_outlet:7:voltage,socket_outlet:8:type,socket_outlet:8:power,socket_outlet:8:current,socket_outlet:8:voltage,socket_outlet:9:type,socket_outlet:9:power,socket_outlet:9:current,socket_outlet:9:voltage,socket_outlet:10:type,socket_outlet:10:power,socket_outlet:10:current,socket_outlet:10:voltage
6130897218,node,48.5029408,12.099426,N/A,E.ON,N/A,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7630093085,node,48.5896321,12.0251116,N/A,E-Wald,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9878363194,node,48.5913631,12.0278722,Ladestation e-Bike,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9878376554,node,48.5916925,12.0288077,Ladestationen,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24/7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10855846608,node,48.5886548,12.0178017,Ladestation e-Bikes,Jägerwirt,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,We-Sa 17:00-22:00; Su 11:00-21:00,customers,https://www.jagerwirt-furth.de/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10951681368,node,48.5175637,12.0430791,N/A,Biergarten Ellermühle,4,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,24/7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10951681379,node,48.517526,12.0439806,N/A,Biergarten Ellermühle,8,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11940232303,node,48.5391331,12.0956688,N/A,N/A,2,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11940450816,node,48.5459723,12.0944001,N/A,Lidl,2,N/A,N/A,yes,no,N/A,no,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12179257237,node,48.515502,12.0162054,N/A,Gästehaus Hutzenthaler,2,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
